Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,3780,50,1.34,3745,3805,3650,187163,697950175,96423014520,25508734
2021-10-14,3730,210,5.97,3520,3920,3520,599022,2256149880,95147577820,25508734
2021-10-13,3520,140,4.14,3380,3545,3350,174042,605904335,89790743680,25508734
2021-10-12,3380,-185,-5.19,3510,3550,3330,244996,833627520,86219520920,25508734
2021-10-08,3565,195,5.79,3465,3650,3315,402847,1399127475,90938636710,25508734
2021-10-07,3370,270,8.71,3130,3535,3130,663102,2246522630,85964433580,25508734
2021-10-06,3100,-210,-6.34,3310,3395,3080,466448,1487999335,79077075400,25508734
2021-10-05,3310,-205,-5.83,3465,3505,3265,376922,1259917310,84433909540,25508734
2021-10-01,3515,-175,-4.74,3625,3755,3420,512077,1810787030,89663200010,25508734
2021-09-30,3690,-100,-2.64,3760,3870,3655,353959,1319439540,94127228460,25508734
2021-09-29,3790,-195,-4.89,3825,3880,3740,487903,1850155445,96678101860,25508734
2021-09-28,3985,-200,-4.78,4130,4190,3890,316986,1264678070,1.01652E+11,25508734
2021-09-27,4185,90,2.2,4030,4220,3995,235347,975058635,1.06754E+11,25508734
2021-09-24,4095,-90,-2.15,4160,4220,4000,381663,1557269620,1.04458E+11,25508734
2021-09-23,4185,-250,-5.64,4285,4395,4135,301189,1275406085,1.06754E+11,25508734
2021-09-17,4435,95,2.19,4365,4475,4275,256995,1128706015,1.13131E+11,25508734
2021-09-16,4340,-25,-0.57,4400,4410,4220,382186,1642888960,1.10708E+11,25508734
2021-09-15,4365,-245,-5.31,4560,4605,4365,625744,2784916920,1.11346E+11,25508734
2021-09-14,4610,55,1.21,4565,4685,4530,467906,2160746990,1.17595E+11,25508734
2021-09-13,4555,-145,-3.09,4605,4825,4510,814727,3803692530,1.16192E+11,25508734
2021-09-10,4700,-130,-2.69,4810,4845,4590,1103931,5194948755,1.19891E+11,25508734
2021-09-09,4830,-20,-0.41,4780,4950,4675,2250927,10859831960,1.23207E+11,25508734
2021-09-08,4850,465,10.6,4515,5220,4515,18026847,89369350490,1.23717E+11,25508734
2021-09-07,4385,145,3.42,4190,4405,4190,306256,1336031315,1.11856E+11,25508734
2021-09-06,4240,45,1.07,4190,4270,4005,265977,1099940380,1.08157E+11,25508734
2021-09-03,4195,-255,-5.73,4295,4365,4170,450827,1920975595,1.07009E+11,25508734
2021-09-02,4450,95,2.18,4350,4450,4315,194344,852231965,1.13514E+11,25508734
2021-09-01,4355,55,1.28,4300,4415,4245,239044,1037944250,1.11091E+11,25508734
2021-08-31,4300,15,0.35,4290,4355,4115,310790,1316260990,1.09688E+11,25508734
2021-08-30,4285,195,4.77,4145,4330,4140,386162,1639325570,1.09305E+11,25508734
2021-08-27,4090,15,0.37,4020,4115,4015,139495,567820715,1.04331E+11,25508734
2021-08-26,4075,35,0.87,4035,4130,3995,256541,1039093005,1.03948E+11,25508734
2021-08-25,4040,80,2.02,3945,4040,3875,261039,1035783710,1.03055E+11,25508734
2021-08-24,3960,135,3.53,3845,3990,3830,400401,1573411415,1.01015E+11,25508734
2021-08-23,3825,240,6.69,3585,4065,3550,2257849,8822938405,97570907550,25508734
2021-08-20,3585,-280,-7.24,3865,3890,3585,344385,1274517590,91448811390,25508734
2021-08-19,3865,-220,-5.39,4005,4125,3805,354737,1397723120,98591256910,25508734
2021-08-18,4085,135,3.42,3905,4110,3850,314397,1264998905,1.04203E+11,25508734
2021-08-17,3950,-190,-4.59,4075,4120,3855,446196,1759046705,1.00759E+11,25508734
2021-08-13,4140,-75,-1.78,4160,4220,3885,596069,2374222990,1.05606E+11,25508734
2021-08-12,4215,40,0.96,4250,4300,4100,299273,1261514840,1.07519E+11,25508734
2021-08-11,4175,5,0.12,4150,4240,4105,297440,1242018470,1.06499E+11,25508734
2021-08-10,4170,-75,-1.77,4270,4310,4080,536935,2241536795,1.06371E+11,25508734
2021-08-09,4245,-355,-7.72,4600,4615,4200,903139,3904547125,1.08285E+11,25508734
2021-08-06,4600,-190,-3.97,4830,4830,4585,514197,2390623495,1.1734E+11,25508734
2021-08-05,4790,145,3.12,4650,4790,4590,367032,1729808095,1.22187E+11,25508734
2021-08-04,4645,30,0.65,4885,4970,4625,1099446,5247224030,1.18488E+11,25508734
2021-08-03,4615,-115,-2.43,4720,4810,4595,443421,2142274025,1.17723E+11,25508734
2021-08-02,4730,-15,-0.32,4780,4870,4730,307886,1476361770,1.20656E+11,25508734
2021-07-30,4745,-155,-3.16,4890,4945,4710,436003,2087380270,1.21039E+11,25508734
2021-07-29,4900,-80,-1.61,4985,5080,4880,349965,1739392310,1.24993E+11,25508734
2021-07-28,4980,-160,-3.11,5110,5130,4975,442058,2223088300,1.27033E+11,25508734
2021-07-27,5140,-50,-0.96,5160,5290,4970,837524,4292064445,1.31115E+11,25508734
2021-07-26,5190,280,5.7,4920,5310,4920,1917966,9844956260,1.3239E+11,25508734
2021-07-23,4910,-20,-0.41,4905,4975,4855,481267,2366592560,1.25248E+11,25508734
2021-07-22,4930,140,2.92,4790,5050,4740,1299388,6384274995,1.25758E+11,25508734
2021-07-21,4790,-195,-3.91,4800,4935,4685,865650,4142747680,1.22187E+11,25508734
2021-07-20,4985,305,6.52,4525,5480,4525,5597905,27666885500,1.27161E+11,25508734
2021-07-19,4680,-390,-7.69,5020,5020,4635,1270920,6066084030,1.19381E+11,25508734
2021-07-16,5070,-330,-6.11,5350,5390,5000,1219359,6264969170,1.29329E+11,25508734
2021-07-15,5400,50,0.93,5880,6200,5370,6240726,36344002710,1.37747E+11,25508734
2021-07-14,5350,-260,-4.63,5550,5550,5310,854752,4725315560,1.36472E+11,25508734
2021-07-13,5610,200,3.7,5390,5760,5390,1285103,7206757120,1.43104E+11,25508734
2021-07-12,5410,40,0.74,5240,5440,5200,720810,3858949900,1.38002E+11,25508734
2021-07-09,5370,-50,-0.92,5320,5440,5100,1007477,5319292150,1.36982E+11,25508734
2021-07-08,5420,-470,-7.98,5800,5850,5390,1348766,7504149510,1.38257E+11,25508734
2021-07-07,5890,-160,-2.64,5980,6050,5670,1340346,7792783250,1.50246E+11,25508734
2021-07-06,6050,0,0,6080,6230,6030,1056270,6451860640,1.54328E+11,25508734
2021-07-05,6050,-510,-7.77,6460,6460,5980,1349889,8354345960,1.54328E+11,25508734
2021-07-02,6560,-20,-0.3,6420,6630,6260,1867419,12111772630,1.67337E+11,25508734
2021-07-01,6580,120,1.86,6370,6590,6300,2797916,18067023140,1.67847E+11,25508734
2021-06-30,6460,340,5.56,6190,6460,6000,4963857,30845421520,1.64786E+11,25508734
2021-06-29,6120,660,12.09,5690,7090,5590,27054030,1.79875E+11,1.56113E+11,25508734
2021-06-28,5460,280,5.41,6110,6120,5370,5000705,28649063540,1.39278E+11,25508734
2021-06-25,5180,130,2.57,5010,5180,4980,766306,4143100790,1.32135E+11,25508734
2021-06-24,5050,115,2.33,4990,5150,4840,411185,2066182765,1.28819E+11,25508734
2021-06-23,4935,-35,-0.7,4950,5020,4905,171534,851552800,1.25886E+11,25508734
2021-06-22,4970,-30,-0.6,4985,5080,4800,391860,1939836450,1.26778E+11,25508734
2021-06-21,5000,-150,-2.91,4750,5060,4735,556261,2751338975,1.27544E+11,25508734
2021-06-18,5150,50,0.98,5150,5270,5100,455467,2352287570,1.3137E+11,25508734
2021-06-17,5100,105,2.1,4995,5230,4995,602219,3073076825,1.30095E+11,25508734
2021-06-16,4995,-35,-0.7,5080,5080,4870,490562,2435008745,1.27416E+11,25508734
2021-06-15,5030,-40,-0.79,5070,5130,5030,377383,1917933490,1.28309E+11,25508734
2021-06-14,5070,125,2.53,4945,5190,4915,599039,3034504240,1.29329E+11,25508734
2021-06-11,4945,60,1.23,4885,5070,4700,888720,4334843000,1.26141E+11,25508734
2021-06-10,4885,-245,-4.78,5100,5460,4235,1409842,6823635045,1.2461E+11,25508734
2021-06-09,5130,0,0,5230,5250,5060,456013,2348521380,1.3086E+11,25508734
2021-06-08,5130,-270,-5,5450,5450,5120,792152,4155606810,1.3086E+11,25508734
2021-06-07,5400,-310,-5.43,5750,5750,5400,746393,4152208680,1.37747E+11,25508734
2021-06-04,5710,-190,-3.22,5870,5870,5680,755546,4362862490,1.45655E+11,25508734
2021-06-03,5900,260,4.61,5780,5900,5600,1257841,7270090080,1.50502E+11,25508734
2021-06-02,5640,110,1.99,5680,5930,5530,2541016,14637988380,1.43869E+11,25508734
2021-06-01,5530,100,1.84,5350,5700,5350,1150852,6384794310,1.41063E+11,25508734
2021-05-31,5430,-170,-3.04,5630,5680,5400,834252,4597782590,1.38512E+11,25508734
2021-05-28,5600,0,0,5530,5680,5500,1081437,6061966740,1.42849E+11,25508734
2021-05-27,5600,160,2.94,5410,6240,5370,9021368,52971526970,1.42849E+11,25508734
2021-05-26,5440,240,4.62,5200,5510,5140,1326379,7074783890,1.38768E+11,25508734
2021-05-25,5200,260,5.26,4980,5270,4980,1109648,5694462190,1.32645E+11,25508734
2021-05-24,4940,-50,-1,4900,5330,4780,1966453,9973888945,1.26013E+11,25508734
2021-05-21,4990,-130,-2.54,5120,5300,4935,1017131,5212814675,1.27289E+11,25508734
2021-05-20,5120,-100,-1.92,5190,5300,5110,648417,3354327840,1.30605E+11,25508734
2021-05-18,5220,-110,-2.06,5410,5580,5010,1693482,8750061910,1.33156E+11,25508734
2021-05-17,5330,-260,-4.65,5990,6100,5330,1971975,11113915930,1.35962E+11,25508734
2021-05-14,5590,100,1.82,5490,5650,5410,1527540,8424727210,1.42594E+11,25508734
2021-05-13,5490,210,3.98,5350,5690,5250,3634718,19911804440,1.40043E+11,25508734
2021-05-12,5280,10,0.19,5340,5780,5200,6421055,35077943930,1.34686E+11,25508734
2021-05-11,5270,565,12.01,4650,5630,4650,17438820,92874697405,1.34431E+11,25508734
2021-05-10,4705,-110,-2.28,4780,4860,4650,1994457,9459181805,1.20019E+11,25508734
2021-05-07,4815,360,8.08,4400,5260,4335,20551587,1.0242E+11,1.22825E+11,25508734
2021-05-06,4455,-105,-2.3,4495,4585,4440,930106,4168611590,1.13641E+11,25508734
2021-05-04,4560,225,5.19,4325,4560,4145,1810847,7918341975,1.1632E+11,25508734
2021-05-03,4335,-260,-5.66,4640,4730,4270,1540247,6874066400,1.1058E+11,25508734
2021-04-30,4595,0,0,4470,4680,4450,1919099,8710735970,1.17213E+11,25508734
2021-04-29,4595,260,6,4305,5080,4305,12255374,57549683780,1.17213E+11,25508734
2021-04-28,4335,535,14.08,4100,4775,4000,26407504,1.17607E+11,1.1058E+11,25508734
2021-04-27,3800,-30,-0.78,3750,4100,3685,4224134,16224304150,96933189200,25508734
2021-04-26,3830,220,6.09,3810,3830,3710,1427781,5411600785,97698451220,25508734
2021-04-23,3610,70,1.98,3540,3670,3535,764808,2756087230,92086529740,25508734
2021-04-22,3540,-70,-1.94,3525,3565,3515,1066146,3767094710,90300918360,25508734
2021-04-21,3610,135,3.88,3540,3945,3440,13652797,50658885540,92086529740,25508734
2021-04-20,3475,180,5.46,3675,4200,3385,21477734,82671417060,88642850650,25508734
2021-04-19,3295,-180,-5.18,3415,3440,3225,2173288,7334103935,84051278530,25508734
2021-04-16,3475,150,4.51,3350,3680,3265,8619671,29550168915,88642850650,25508734
2021-04-15,3325,0,0,3445,3580,3145,10824498,36232716520,84816540550,25508734
