Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,39600,100,0.25,40100,40100,39100,18009,716268450,4.86094E+11,12275111
2021-10-14,39500,300,0.77,40150,40150,39300,20179,801842200,4.84867E+11,12275111
2021-10-13,39200,-100,-0.25,38650,40000,38650,12385,486753300,4.81184E+11,12275111
2021-10-12,39300,1350,3.56,37400,39450,36050,51782,1993501250,4.82412E+11,12275111
2021-10-08,37950,-600,-1.56,38300,38700,37500,21329,810638100,4.6584E+11,12275111
2021-10-07,38550,1350,3.63,36550,38700,36550,40118,1523454200,4.73206E+11,12275111
2021-10-06,37200,-1400,-3.63,38600,39100,36850,61582,2315791300,4.56634E+11,12275111
2021-10-05,38600,-2000,-4.93,40000,40000,38000,54781,2129707550,4.73819E+11,12275111
2021-10-01,40600,-950,-2.29,41550,42950,40450,58370,2422192300,4.9837E+11,12275111
2021-09-30,41550,-700,-1.66,42250,42850,41500,31035,1307235750,5.10031E+11,12275111
2021-09-29,42250,850,2.05,40300,42450,40150,50424,2100732950,5.18623E+11,12275111
2021-09-28,41400,-900,-2.13,42500,43100,40950,81085,3434467000,5.0819E+11,12275111
2021-09-27,42300,1350,3.3,41950,42650,41400,54466,2301601000,5.19237E+11,12275111
2021-09-24,40950,2250,5.81,38750,41750,38750,102531,4210979800,5.02666E+11,12275111
2021-09-23,38700,-1250,-3.13,39950,40000,38700,43935,1718516900,4.75047E+11,12275111
2021-09-17,39950,-550,-1.36,40700,40700,39950,26465,1060747000,4.90391E+11,12275111
2021-09-16,40500,0,0,40950,41150,40500,14715,598506000,4.97142E+11,12275111
2021-09-15,40500,-400,-0.98,40900,40950,40200,24117,976667750,4.97142E+11,12275111
2021-09-14,40900,150,0.37,41350,41350,40700,15741,642519650,5.02052E+11,12275111
2021-09-13,40750,0,0,40600,41450,40600,20868,855003750,5.00211E+11,12275111
