Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,3170,180,6.02,2995,3170,2970,1410980,4377125810,1.17655E+11,37115267
2021-10-14,2990,15,0.5,2980,3025,2965,704412,2103504465,1.10975E+11,37115267
2021-10-13,2975,-10,-0.34,2940,3010,2900,398836,1176382110,1.10418E+11,37115267
2021-10-12,2985,20,0.67,2980,3020,2905,276326,821159025,1.10789E+11,37115267
2021-10-08,2965,5,0.17,2960,3115,2910,811775,2436845080,1.10047E+11,37115267
2021-10-07,2960,255,9.43,2705,2960,2705,729431,2107092230,1.09861E+11,37115267
2021-10-06,2705,-105,-3.74,2815,2900,2700,338784,935448165,1.00397E+11,37115267
2021-10-05,2810,-85,-2.94,2880,3000,2730,477335,1356025770,1.04294E+11,37115267
2021-10-01,2895,-105,-3.5,2990,3000,2860,298860,870887925,1.07449E+11,37115267
2021-09-30,3000,20,0.67,3000,3045,2970,232919,699705475,1.11346E+11,37115267
2021-09-29,2980,-25,-0.83,2920,3030,2875,533327,1566073295,1.10603E+11,37115267
2021-09-28,3005,-160,-5.06,3175,3175,2965,471409,1437110945,1.11531E+11,37115267
2021-09-27,3165,0,0,3155,3195,3130,172334,544827670,1.1747E+11,37115267
2021-09-24,3165,-40,-1.25,3195,3290,3150,251202,805759360,1.1747E+11,37115267
2021-09-23,3205,45,1.42,3140,3420,3105,1001706,3316823065,1.18954E+11,37115267
2021-09-17,3160,40,1.28,3115,3180,3085,175327,550015680,1.17284E+11,37115267
2021-09-16,3120,-70,-2.19,3210,3220,3095,237716,744448865,1.158E+11,37115267
2021-09-15,3190,-60,-1.85,3250,3275,3185,135638,436910940,1.18398E+11,37115267
2021-09-14,3250,50,1.56,3200,3285,3200,177378,574460725,1.20625E+11,37115267
2021-09-13,3200,-115,-3.47,3320,3335,3195,280491,914741875,1.18769E+11,37115267
2021-09-10,3315,30,0.91,3300,3345,3250,164233,541662400,1.23037E+11,37115267
2021-09-09,3285,-65,-1.94,3510,3595,3275,685130,2322792680,1.21924E+11,37115267
2021-09-08,3350,-35,-1.03,3385,3410,3330,259910,877034600,1.24336E+11,37115267
2021-09-07,3385,5,0.15,3390,3395,3280,377267,1258585120,1.25635E+11,37115267
2021-09-06,3380,-35,-1.02,3420,3430,3325,283867,952657215,1.2545E+11,37115267
2021-09-03,3415,-60,-1.73,3500,3500,3375,346876,1184533560,1.26749E+11,37115267
2021-09-02,3475,-25,-0.71,3505,3505,3440,144410,500432670,1.28976E+11,37115267
2021-09-01,3500,85,2.49,3405,3505,3390,312254,1083211500,1.29903E+11,37115267
2021-08-31,3415,-35,-1.01,3470,3565,3395,465418,1610489855,1.26749E+11,37115267
2021-08-30,3450,40,1.17,3410,3455,3405,235490,807997825,1.28048E+11,37115267
2021-08-27,3410,20,0.59,3380,3455,3350,240673,821076935,1.26563E+11,37115267
2021-08-26,3390,15,0.44,3395,3570,3360,514830,1763228315,1.25821E+11,37115267
2021-08-25,3375,5,0.15,3380,3395,3325,334780,1124827710,1.25264E+11,37115267
2021-08-24,3370,125,3.85,3300,3625,3255,1784545,6128492055,1.25078E+11,37115267
2021-08-23,3245,190,6.22,3050,3250,3045,385201,1218432160,1.20439E+11,37115267
2021-08-20,3055,-125,-3.93,3180,3230,3035,529343,1649672455,1.13387E+11,37115267
2021-08-19,3180,-255,-7.42,3370,3420,3180,565874,1855322550,1.18027E+11,37115267
2021-08-18,3435,140,4.25,3255,3450,3255,570731,1925081375,1.27491E+11,37115267
2021-08-17,3295,-185,-5.32,3470,3495,3295,567514,1913023260,1.22295E+11,37115267
2021-08-13,3480,-80,-2.25,3560,3565,3415,623374,2160673040,1.29161E+11,37115267
