Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,9870,-120,-1.2,10000,10050,9830,107389,1064384270,85903831230,8703529
2021-10-14,9990,-410,-3.94,10350,10350,9900,304576,3053458000,86948254710,8703529
2021-10-13,10400,0,0,10250,11400,10250,277663,2989062500,90516701600,8703529
2021-10-12,10400,-250,-2.35,10700,10800,10150,89618,932959700,90516701600,8703529
2021-10-08,10650,700,7.04,9950,10700,9950,232820,2431865340,92692583850,8703529
2021-10-07,9950,210,2.16,9720,10050,9720,32413,321946850,86600113550,8703529
2021-10-06,9740,-310,-3.08,10100,10350,9690,95738,951901580,84772372460,8703529
2021-10-05,10050,50,0.5,10000,10350,9820,80935,811199740,87470466450,8703529
2021-10-01,10000,140,1.42,9850,10150,9670,53916,535465320,87035290000,8703529
2021-09-30,9860,240,2.49,9690,9980,9650,39590,390584950,85816795940,8703529
2021-09-29,9620,-180,-1.84,9730,9880,9570,47664,460930920,83727948980,8703529
2021-09-28,9800,-170,-1.71,9830,9970,9720,52337,514418690,85294584200,8703529
2021-09-27,9970,-80,-0.8,9930,10050,9930,29417,294474180,86774184130,8703529
2021-09-24,10050,130,1.31,9920,10200,9870,34375,343502370,87470466450,8703529
2021-09-23,9920,-80,-0.8,9860,10000,9710,32958,326399990,86339007680,8703529
2021-09-17,10000,30,0.3,10000,10250,9910,62271,623619900,87035290000,8703529
2021-09-16,9970,-80,-0.8,10100,10200,9900,38972,388222640,86774184130,8703529
2021-09-15,10050,-100,-0.99,10050,10200,9970,31175,313013480,87470466450,8703529
2021-09-14,10150,300,3.05,9840,10450,9840,49755,503731210,88340819350,8703529
2021-09-13,9850,-130,-1.3,9890,10050,9720,41935,414445610,85729760650,8703529
2021-09-10,9980,-20,-0.2,10000,10050,9750,50076,495172980,86861219420,8703529
2021-09-09,10000,-100,-0.99,10050,10150,9940,39530,395009430,87035290000,8703529
2021-09-08,10100,-50,-0.49,10200,10250,9970,59138,596389780,87905642900,8703529
2021-09-07,10150,0,0,10100,10400,10050,33758,342729000,88340819350,8703529
2021-09-06,10150,-200,-1.93,10350,10400,10100,43748,445758650,88340819350,8703529
2021-09-03,10350,-450,-4.17,10650,10700,10300,67604,707743600,90081525150,8703529
2021-09-02,10800,50,0.47,10700,10850,10450,36107,384298450,93998113200,8703529
2021-09-01,10750,550,5.39,10200,10800,10000,90326,945983350,93562936750,8703529
2021-08-31,10200,0,0,10050,10200,9970,27439,275833370,88775995800,8703529
2021-08-30,10200,100,0.99,10100,10250,10000,29485,298333550,88775995800,8703529
2021-08-27,10100,200,2.02,9850,10200,9840,25206,252144900,87905642900,8703529
2021-08-26,9900,-100,-1,9960,10050,9860,27075,269008230,86164937100,8703529
2021-08-25,10000,0,0,10000,10150,9930,36735,367950470,87035290000,8703529
2021-08-24,10000,240,2.46,9880,10100,9800,77058,770416120,87035290000,8703529
2021-08-23,9760,270,2.85,9770,9840,9520,34888,339483960,84946443040,8703529
2021-08-20,9490,-170,-1.76,9670,9940,9270,87949,834092180,82596490210,8703529
2021-08-19,9660,-440,-4.36,9950,10200,9610,88769,874483970,84076090140,8703529
2021-08-18,10100,160,1.61,9770,10200,9740,63759,637752550,87905642900,8703529
2021-08-17,9940,-610,-5.78,10400,10500,9900,218598,2195821430,86513078260,8703529
2021-08-13,10550,-300,-2.76,10800,10900,10350,124017,1307504450,91822230950,8703529
2021-08-12,10850,-150,-1.36,11000,11200,10800,51330,563063150,94433289650,8703529
2021-08-11,11000,150,1.38,10800,11050,10600,49161,537297750,95738819000,8703529
2021-08-10,10850,-400,-3.56,11100,11250,10800,98350,1076699850,94433289650,8703529
2021-08-09,11250,-200,-1.75,11450,11500,11200,63064,712174450,97914701250,8703529
2021-08-06,11450,-50,-0.43,11500,11650,11300,61843,707185400,99655407050,8703529
2021-08-05,11500,400,3.6,11100,11550,11000,97851,1111604500,1.00091E+11,8703529
2021-08-04,11100,100,0.91,11100,11300,10950,109911,1214997950,96609171900,8703529
2021-08-03,11000,-500,-4.35,11450,11600,10750,218321,2411763650,95738819000,8703529
2021-08-02,11500,100,0.88,11500,11550,11000,124825,1410676050,1.00091E+11,8703529
2021-07-30,11400,-450,-3.8,11800,11900,11350,142912,1645723150,99220230600,8703529
2021-07-29,11850,-50,-0.42,12050,12350,11600,127381,1508840000,1.03137E+11,8703529
2021-07-28,11900,-700,-5.56,12650,12650,11750,193314,2351028400,1.03572E+11,8703529
2021-07-27,12600,-150,-1.18,12800,12950,12550,123101,1559930550,1.09664E+11,8703529
2021-07-26,12750,300,2.41,12450,12900,12400,211640,2675623500,1.1097E+11,8703529
2021-07-23,12450,100,0.81,12350,13000,12200,348272,4370629550,1.08359E+11,8703529
2021-07-22,12350,300,2.49,12150,12400,12050,148784,1814283250,1.07489E+11,8703529
2021-07-21,12050,-250,-2.03,12450,12500,12050,173494,2124147000,1.04878E+11,8703529
2021-07-20,12300,-300,-2.38,12300,12700,12100,322797,3982011950,1.07053E+11,8703529
2021-07-19,12600,-850,-6.32,13400,13400,12550,365847,4717475300,1.09664E+11,8703529
2021-07-16,13450,250,1.89,13000,13500,12800,445912,5872930150,1.17062E+11,8703529
2021-07-15,13200,0,0,12900,13300,12600,597335,7731071350,1.14887E+11,8703529
2021-07-14,13200,1350,11.39,11850,13200,11650,1265498,16054443300,1.14887E+11,8703529
2021-07-13,11850,-200,-1.66,12150,12200,11700,125598,1491855000,1.03137E+11,8703529
2021-07-12,12050,200,1.69,12000,12100,11700,182274,2174668850,1.04878E+11,8703529
2021-07-09,11850,100,0.85,11600,11900,11250,173251,2000781550,1.03137E+11,8703529
2021-07-08,11750,0,0,11700,12000,11350,176893,2068687500,1.02266E+11,8703529
2021-07-07,11750,-150,-1.26,11900,11950,11650,96635,1138401100,1.02266E+11,8703529
2021-07-06,11900,-100,-0.83,12000,12100,11750,145344,1727830900,1.03572E+11,8703529
2021-07-05,12000,800,7.14,11400,12100,11300,416779,4926310600,1.04442E+11,8703529
2021-07-02,11200,100,0.9,11150,11350,11000,69369,774667200,97479524800,8703529
2021-07-01,11100,-250,-2.2,11350,11350,11050,92014,1028258750,96609171900,8703529
2021-06-30,11350,-350,-2.99,11750,11800,11200,109184,1248909400,98785054150,8703529
2021-06-29,11700,150,1.3,11550,11850,11350,191704,2236601650,1.01831E+11,8703529
2021-06-28,11550,450,4.05,11100,11550,11000,149401,1700671050,1.00526E+11,8703529
2021-06-25,11100,0,0,11050,11300,11000,97592,1086083300,96609171900,8703529
2021-06-24,11100,250,2.3,10900,11300,10800,115687,1282951800,96609171900,8703529
2021-06-23,10850,-200,-1.81,11100,11100,10650,174959,1892738850,94433289650,8703529
2021-06-22,11050,200,1.84,10950,11300,10900,99122,1096462300,96173995450,8703529
2021-06-21,10850,-600,-5.24,11200,11300,10850,166360,1849265050,94433289650,8703529
2021-06-18,11450,-50,-0.43,11500,11750,11250,152207,1736206300,99655407050,8703529
2021-06-17,11500,-100,-0.86,11750,11850,11350,223768,2603721000,1.00091E+11,8703529
2021-06-16,11600,300,2.65,11300,11600,11200,153230,1751976550,1.00961E+11,8703529
2021-06-15,11300,-250,-2.16,11450,11700,11100,181575,2054267500,98349877700,8703529
2021-06-14,11550,-300,-2.53,11950,12150,11450,191872,2257148400,1.00526E+11,8703529
2021-06-11,11850,0,0,11800,12400,11500,286630,3432767700,1.03137E+11,8703529
2021-06-10,11850,-300,-2.47,11800,12400,11600,479015,5722859650,1.03137E+11,8703529
