Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,11400,900,8.57,10500,12200,10300,117321,1338445800,93558842400,8206916
2021-10-14,10500,350,3.45,10450,10500,9900,61963,627621090,86172618000,8206916
2021-10-13,10150,180,1.81,10250,10650,9900,66903,680614960,83300197400,8206916
2021-10-12,9970,-930,-8.53,10900,11000,9970,31530,323026610,81822952520,8206916
2021-10-08,10900,100,0.93,10950,11050,10450,27441,292480550,89455384400,8206916
2021-10-07,10800,-100,-0.92,10550,11300,10500,31863,345777950,88634692800,8206916
2021-10-06,10900,-600,-5.22,11600,11650,10500,23469,254545150,89455384400,8206916
2021-10-05,11500,-700,-5.74,11900,12500,11150,18664,216624100,94379534000,8206916
2021-10-01,12200,-300,-2.4,12500,12650,11650,20624,248067750,1.00124E+11,8206916
2021-09-30,12500,-650,-4.94,13050,13050,12500,14947,190025750,1.02586E+11,8206916
2021-09-29,13150,1150,9.58,11650,14600,11400,139616,1821506200,1.07921E+11,8206916
2021-09-28,12000,-600,-4.76,12600,12600,11850,20683,249859400,98482992000,8206916
2021-09-27,12600,-700,-5.26,13350,13450,12350,31335,399294200,1.03407E+11,8206916
2021-09-24,13300,-500,-3.62,13900,13900,13300,13170,178569200,1.09152E+11,8206916
2021-09-23,13800,-50,-0.36,13750,13950,13600,11125,153063400,1.13255E+11,8206916
2021-09-17,13850,-450,-3.15,14300,14350,13600,17043,235746600,1.13666E+11,8206916
2021-09-16,14300,250,1.78,14050,14350,13900,15379,218247850,1.17359E+11,8206916
2021-09-15,14050,150,1.08,14000,14100,13650,11479,159833750,1.15307E+11,8206916
2021-09-14,13900,550,4.12,13350,14050,13250,21758,298828050,1.14076E+11,8206916
2021-09-13,13350,-650,-4.64,13700,13850,13300,27982,377067300,1.09562E+11,8206916
2021-09-10,14000,-250,-1.75,14250,14300,13700,15396,214367650,1.14897E+11,8206916
2021-09-09,14250,50,0.35,14250,14300,13400,54166,749158050,1.16949E+11,8206916
2021-09-08,14200,-800,-5.33,15000,15000,14100,40512,583707550,1.16538E+11,8206916
2021-09-07,15000,-50,-0.33,15100,15750,14700,49425,751774250,1.23104E+11,8206916
2021-09-06,15050,-900,-5.64,15950,15950,14800,78532,1190870050,1.23514E+11,8206916
2021-09-03,15950,0,0,16000,16600,15700,47321,762705050,1.309E+11,8206916
2021-09-02,15950,-200,-1.24,16100,16250,15000,106373,1674448300,1.309E+11,8206916
2021-09-01,16150,-1600,-9.01,17600,17600,15850,160259,2633535400,1.32542E+11,8206916
2021-08-31,17750,100,0.57,18000,18500,17350,105283,1884341750,1.45673E+11,8206916
2021-08-30,17650,-3200,-15.35,20750,20750,17150,369113,6656167550,1.44852E+11,8206916
2021-08-27,20850,-3950,-15.93,24850,25200,20200,231632,5004415950,1.71114E+11,8206916
2021-08-26,24800,-3500,-12.37,28450,28500,23100,96935,2471562100,2.03532E+11,8206916
2021-08-25,28300,1100,4.04,27200,30350,27000,69697,1957413800,2.32256E+11,8206916
2021-08-24,27200,50,0.18,27400,28200,26700,23683,648220800,2.23228E+11,8206916
2021-08-23,27150,600,2.26,27650,27650,25700,13239,352105000,2.22818E+11,8206916
2021-08-20,26550,-450,-1.67,26500,27450,25850,14212,374692750,2.17894E+11,8206916
2021-08-19,27000,-450,-1.64,27450,27450,26300,15679,420267900,2.21587E+11,8206916
2021-08-18,27450,750,2.81,26950,27450,25800,14833,391131950,2.2528E+11,8206916
2021-08-17,26700,-300,-1.11,27000,28100,25700,11249,295567650,2.19125E+11,8206916
2021-08-13,27000,-800,-2.88,28000,28000,26500,15208,412796600,2.21587E+11,8206916
2021-08-12,27800,50,0.18,27750,27900,26700,24375,663174750,2.28152E+11,8206916
2021-08-11,27750,-800,-2.8,28550,28600,27300,16535,459895350,2.27742E+11,8206916
2021-08-10,28550,50,0.18,29150,29150,27250,8975,254348300,2.34307E+11,8206916
2021-08-09,28500,-1100,-3.72,29600,29800,27950,19205,544409450,2.33897E+11,8206916
2021-08-06,29600,-550,-1.82,30150,30150,28900,13685,401015750,2.42925E+11,8206916
2021-08-05,30150,-550,-1.79,30700,30700,29400,13961,416134800,2.47439E+11,8206916
2021-08-04,30700,650,2.16,30950,30950,29800,7228,218308550,2.51952E+11,8206916
2021-08-03,30050,-1350,-4.3,31350,31400,29200,128632,3777672150,2.46618E+11,8206916
2021-08-02,31400,150,0.48,31550,31550,30700,8057,251659000,2.57697E+11,8206916
2021-07-30,31250,150,0.48,31000,31450,30400,11134,342965150,2.56466E+11,8206916
2021-07-29,31100,100,0.32,31900,31900,30600,6964,215545150,2.55235E+11,8206916
2021-07-28,31000,400,1.31,30000,31600,30000,13497,415326600,2.52864E+11,8156916
2021-07-27,30600,-300,-0.97,31450,31450,29950,5200,158522550,2.49602E+11,8156916
2021-07-26,30900,600,1.98,30150,31250,30150,17200,530452800,2.52049E+11,8156916
2021-07-23,30300,-1100,-3.5,31900,31900,29500,14479,443314650,2.47155E+11,8156916
2021-07-22,31400,150,0.48,31800,31800,30800,7795,244472000,2.56127E+11,8156916
2021-07-21,31250,50,0.16,30800,31600,30300,7795,243473950,2.54904E+11,8156916
2021-07-20,31200,0,0,30700,31400,29800,12232,377910100,2.54496E+11,8156916
2021-07-19,31200,800,2.63,30850,31300,28650,19396,573250100,2.54496E+11,8156916
2021-07-16,30400,-300,-0.98,30700,30700,29450,14530,435737450,2.4797E+11,8156916
2021-07-15,30700,-800,-2.54,31350,32200,29550,27326,845190450,2.50417E+11,8156916
2021-07-14,31500,200,0.64,31400,32850,30100,29850,950305550,2.56943E+11,8156916
2021-07-13,31300,1700,5.74,30900,31500,29150,42456,1304281500,2.55311E+11,8156916
2021-07-12,29600,1050,3.68,28850,30000,28100,31378,921309850,2.41149E+11,8146916
