Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,1620,1645,1600,1635,1635,1538614
2020-01-21,1640,1655,1610,1620,1620,1456666
2020-01-22,1610,1665,1610,1645,1645,1431420
2020-01-23,1640,1645,1610,1625,1625,1093712
2020-01-28,1560,1580,1520,1545,1545,1960641
2020-01-29,1555,1575,1550,1565,1565,934779
2020-01-30,1565,1600,1530,1535,1535,1475244
2020-01-31,1530,1555,1460,1460,1460,1772565
2020-02-03,1410,1475,1405,1475,1475,1267722
2020-02-04,1470,1515,1470,1515,1515,573003
2020-02-05,1540,1540,1510,1510,1510,776009
2020-02-06,1520,1545,1520,1530,1530,536574
2020-02-07,1530,1565,1515,1525,1525,995683
2020-02-10,1530,1565,1510,1560,1560,801929
2020-02-11,1575,1585,1545,1580,1580,1206845
2020-02-12,1590,1600,1570,1580,1580,824986
2020-02-13,1610,1640,1580,1590,1590,2265582
2020-02-14,1590,1615,1585,1595,1595,979311
2020-02-17,1615,1640,1590,1615,1615,1513342
2020-02-18,1610,1620,1565,1565,1565,1183229
2020-02-19,1565,1575,1510,1545,1545,1280388
2020-02-20,1540,1560,1505,1510,1510,1136378
2020-02-21,1490,1520,1465,1475,1475,1122941
2020-02-24,1450,1455,1400,1400,1400,1507185
2020-02-25,1400,1455,1390,1445,1445,840697
2020-02-26,1420,1440,1405,1425,1425,618590
2020-02-27,1430,1440,1370,1380,1380,1235080
2020-02-28,1340,1360,1275,1280,1280,1438641
2020-03-02,1280,1345,1280,1340,1340,1109638
2020-03-03,1360,1385,1305,1305,1305,1008129
2020-03-04,1305,1385,1300,1380,1380,811482
2020-03-05,1405,1415,1370,1380,1380,619144
2020-03-06,1360,1385,1340,1365,1365,762451
2020-03-09,1365,1365,1365,1365,1365,0
2020-03-10,1275,1295,1245,1290,1290,1140157
2020-03-11,1305,1315,1220,1230,1230,1330820
2020-03-12,1215,1335,1150,1200,1200,5998473
2020-03-13,1055,1130,999,1045,1045,3719336
2020-03-16,1085,1160,1030,1030,1030,2097705
2020-03-17,940,1050,933,1035,1035,1749213
2020-03-18,1040,1075,941,941,941,1564605
2020-03-19,949,979,740,740,740,3546981
2020-03-20,759,823,744,816,816,2099815
2020-03-23,769,833,754,800,800,1444708
2020-03-24,982,983,890,894,894,6939390
2020-03-25,929,950,918,947,947,2904613
2020-03-26,950,1035,930,986,986,3196894
2020-03-27,1030,1040,941,991,991,2547151
2020-03-30,980,1030,950,1030,1030,1788878
2020-03-31,1055,1075,1020,1065,1065,2495146
2020-04-01,1060,1200,1035,1125,1125,4493399
2020-04-02,1140,1190,1085,1170,1170,2051267
2020-04-03,1185,1375,1180,1245,1245,9860413
2020-04-06,1285,1360,1260,1285,1285,4354340
2020-04-07,1295,1320,1240,1290,1290,2164336
2020-04-08,1290,1320,1250,1295,1295,1987191
2020-04-09,1310,1335,1295,1305,1305,1807893
