Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,200000,206000,199500,204000,201249.4375,179569
2020-01-21,204500,205000,202000,204000,201249.4375,83022
2020-01-22,204000,206000,202000,206000,203222.4688,83472
2020-01-23,204000,207000,203500,205000,202235.9531,78101
2020-01-28,199500,202500,194500,195000,192370.7813,130785
2020-01-29,196500,198500,192000,198000,195330.3281,125502
2020-01-30,198000,204000,195000,201000,198289.8906,221159
2020-01-31,201000,201500,194000,194000,191384.2656,148197
2020-02-03,190500,194500,190500,191500,188917.9688,132085
2020-02-04,191500,195000,190500,194000,191384.2656,137463
2020-02-05,195500,195500,192000,193000,190397.75,112312
2020-02-06,195500,200000,194000,200000,197303.3594,109667
2020-02-07,197500,198500,195500,198000,195330.3281,79562
2020-02-10,196000,199000,194500,198500,195823.5938,69634
2020-02-11,199000,201000,197500,199500,196810.1094,108382
2020-02-12,198000,202000,198000,200500,197796.625,77691
2020-02-13,200500,201500,198000,198000,195330.3281,121745
2020-02-14,196000,201000,195500,200000,197303.3594,77990
2020-02-17,200000,203500,198000,201500,198783.1406,97633
2020-02-18,200500,202000,198500,199000,196316.8438,98236
2020-02-19,201000,201500,197000,199000,196316.8438,84179
2020-02-20,199000,200000,195500,195500,192864.0469,83102
2020-02-21,194500,195000,191500,191500,188917.9688,102180
2020-02-24,187500,187500,181500,182000,179546.0625,177689
2020-02-25,182500,184000,180000,183000,180532.5781,136536
2020-02-26,180000,181000,178500,179500,177079.7656,152177
2020-02-27,179000,179500,171000,173000,170667.4063,175474
2020-02-28,169500,172000,165500,166500,164255.0469,227314
2020-03-02,167000,170500,164500,168000,165734.8281,175676
2020-03-03,173500,174000,168000,169500,167214.6094,128842
2020-03-04,168000,181000,168000,179500,177079.7656,217843
2020-03-05,180500,182000,178000,181000,178559.5469,155810
2020-03-06,177000,178500,175500,178000,175600,128619
2020-03-09,178000,178000,178000,178000,175600,0
2020-03-10,169000,173000,168500,169500,167214.6094,187060
2020-03-11,169500,171000,164500,166500,164255.0469,163684
2020-03-12,166500,166500,166500,166500,164255.0469,0
2020-03-13,144000,155000,143500,152000,149950.5625,390416
2020-03-16,153000,156000,148500,148500,146497.75,144413
2020-03-17,142000,149500,141500,143000,141071.9063,200410
2020-03-18,146000,151500,141000,141000,139098.875,221415
2020-03-19,144500,147500,132500,139000,137125.8438,312816
2020-03-20,141500,145000,137500,145000,143044.9375,243413
2020-03-23,135500,140000,133500,137000,135152.8125,196608
2020-03-24,141000,146000,137000,146000,144031.4531,201754
2020-03-25,150000,152500,144500,148500,146497.75,280289
2020-03-26,147000,149000,143000,143500,141565.1719,287659
2020-03-27,149000,149500,141500,146000,144031.4531,231557
2020-03-30,144500,151500,141000,151500,149457.2969,180056
2020-03-31,151500,154000,146500,149500,147484.2656,219481
2020-04-01,147000,149000,141000,141000,139098.875,181130
2020-04-02,142500,146500,141000,144000,142058.4219,174997
2020-04-03,144000,147000,143000,144500,142551.6875,145263
2020-04-06,147500,157000,147000,154500,152416.8438,261338
2020-04-07,158000,161500,153000,156500,154389.8906,236291
2020-04-08,156500,160500,156000,156500,154389.8906,245426
2020-04-09,159500,161500,156000,156500,154389.8906,193007
2020-04-10,155500,159000,154500,157500,155376.4063,207611
2020-04-13,158000,158000,152000,152000,149950.5625,133761
2020-04-14,154000,157000,153000,157000,154883.1406,126808
2020-04-16,155000,160500,154500,158000,155869.6563,235171
2020-04-17,161000,168000,160500,164000,161788.7656,282748
2020-04-20,165500,172000,165000,166000,163761.7969,241786
2020-04-21,165500,170500,161000,165500,163268.5313,301031
