Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,28400,850,3.09,27550,28550,27400,54573,1534308750,1.44859E+11,5100665
2021-10-14,27550,1100,4.16,26450,27750,26450,53140,1455084000,1.40523E+11,5100665
2021-10-13,26450,-500,-1.86,26250,27150,26200,52532,1402021750,1.34913E+11,5100665
2021-10-12,26950,-900,-3.23,28000,28650,26950,94331,2588641750,1.37463E+11,5100665
2021-10-08,27850,2600,10.3,24950,30750,24950,621563,17724904350,1.42054E+11,5100665
2021-10-07,25250,2000,8.6,23100,25450,22850,72128,1748209100,1.28792E+11,5100665
2021-10-06,23250,-1250,-5.1,24200,24850,23250,36441,866786350,1.1859E+11,5100665
2021-10-05,24500,-950,-3.73,25200,25400,24050,39252,961218150,1.24482E+11,5080915
2021-10-01,25450,-1300,-4.86,26500,27000,25250,54437,1406462100,1.29309E+11,5080915
2021-09-30,26750,50,0.19,26650,27400,26650,27205,732686650,1.35914E+11,5080915
2021-09-29,26700,-1650,-5.82,27600,28150,26000,51703,1402058350,1.3566E+11,5080915
2021-09-28,28350,-750,-2.58,29050,29050,28300,28299,806591000,1.44044E+11,5080915
2021-09-27,29100,0,0,28700,29250,28700,10506,305308600,1.47855E+11,5080915
2021-09-24,29100,50,0.17,29050,30750,29000,24243,713036000,1.47855E+11,5080915
2021-09-23,29050,0,0,28750,29450,28750,15262,443346450,1.47601E+11,5080915
2021-09-17,29050,-250,-0.85,29050,29350,28750,14781,428991300,1.47601E+11,5080915
2021-09-16,29300,0,0,29100,29500,29000,17452,509341250,1.48871E+11,5080915
2021-09-15,29300,150,0.51,28900,29650,28900,23459,687200550,1.48871E+11,5080915
2021-09-14,29150,350,1.22,28850,29600,28850,9730,283769400,1.48109E+11,5080915
2021-09-13,28800,-50,-0.17,28750,29400,28650,13493,389707000,1.4633E+11,5080915
2021-09-10,28850,50,0.17,28800,29600,28550,16629,480306950,1.46584E+11,5080915
2021-09-09,28800,-400,-1.37,29300,29600,28750,21554,626235050,1.4633E+11,5080915
2021-09-08,29200,-700,-2.34,30300,30300,29200,30466,896843750,1.48363E+11,5080915
2021-09-07,29900,0,0,29900,30000,29800,13906,415252400,1.51919E+11,5080915
2021-09-06,29900,-300,-0.99,30000,30350,29800,21085,631739750,1.51919E+11,5080915
2021-09-03,30200,50,0.17,30400,30500,30050,22084,669066300,1.53444E+11,5080915
2021-09-02,30150,100,0.33,30050,30450,29800,19964,601091050,1.5319E+11,5080915
2021-09-01,30050,300,1.01,30050,30050,29750,19578,584575650,1.52681E+11,5080915
2021-08-31,29750,-350,-1.16,30250,30300,29600,22168,661371850,1.51157E+11,5080915
2021-08-30,30100,50,0.17,30450,30500,29950,25953,782999500,1.52936E+11,5080915
2021-08-27,30050,450,1.52,29550,30250,29300,27007,805633450,1.52681E+11,5080915
2021-08-26,29600,-400,-1.33,30100,30550,29550,39651,1190853200,1.50395E+11,5080915
2021-08-25,30000,-250,-0.83,30650,30700,29550,43525,1304068100,1.52427E+11,5080915
2021-08-24,30250,1100,3.77,29600,30600,29450,62960,1897885600,1.53698E+11,5080915
2021-08-23,29150,950,3.37,28500,29500,27950,41813,1209593700,1.48109E+11,5080915
2021-08-20,28200,-1500,-5.05,29800,30150,28200,91696,2652991650,1.43282E+11,5080915
2021-08-19,29700,-1000,-3.26,30700,30950,29600,69925,2107911800,1.50903E+11,5080915
2021-08-18,30700,-50,-0.16,30350,31150,30200,67128,2054124900,1.55984E+11,5080915
2021-08-17,30750,-2050,-6.25,32800,32800,30000,161294,5006338700,1.56238E+11,5080915
2021-08-13,32800,-1000,-2.96,33650,33800,32300,79011,2584589650,1.66654E+11,5080915
2021-08-12,33800,450,1.35,33100,34150,33100,57344,1932738850,1.71735E+11,5080915
2021-08-11,33350,-1150,-3.33,34200,34450,33350,82508,2790295850,1.69449E+11,5080915
2021-08-10,34500,-650,-1.85,35400,35400,34050,123009,4250123100,1.75292E+11,5080915
