Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,249000.000000,252000.000000,248000.000000,249500.000000,246890.843750,29639
2020-01-21,249500.000000,253000.000000,248500.000000,251000.000000,248375.156250,33061
2020-01-22,252500.000000,253500.000000,249500.000000,250500.000000,247880.390625,29773
2020-01-23,247000.000000,253000.000000,246500.000000,249500.000000,246890.843750,33991
2020-01-28,244000.000000,249500.000000,240500.000000,242500.000000,239964.046875,36792
2020-01-29,242500.000000,243000.000000,237500.000000,237500.000000,235016.343750,37747
2020-01-30,238500.000000,241500.000000,235000.000000,235500.000000,233037.250000,28932
2020-01-31,235500.000000,243000.000000,235000.000000,237500.000000,235016.343750,59696
2020-02-03,238500.000000,239500.000000,229500.000000,237500.000000,235016.343750,42595
2020-02-04,237500.000000,244500.000000,235000.000000,239500.000000,236995.421875,35381
2020-02-05,239500.000000,244000.000000,239000.000000,241500.000000,238974.515625,30503
2020-02-06,244500.000000,249000.000000,242500.000000,247000.000000,244417.000000,37669
2020-02-07,246000.000000,249000.000000,241500.000000,243500.000000,240953.593750,31259
2020-02-10,239500.000000,246500.000000,239500.000000,244000.000000,241448.359375,28468
2020-02-11,246000.000000,256500.000000,246000.000000,255000.000000,252333.328125,85958
2020-02-12,253000.000000,267000.000000,253000.000000,266500.000000,263713.062500,92748
2020-02-13,273500.000000,284500.000000,270000.000000,275500.000000,272618.968750,219566
2020-02-14,275500.000000,279000.000000,267000.000000,276000.000000,273113.718750,64161
2020-02-17,274000.000000,278500.000000,269500.000000,271000.000000,268166.000000,51552
2020-02-18,271500.000000,271500.000000,263500.000000,268500.000000,265692.156250,43875
2020-02-19,272500.000000,278000.000000,272000.000000,274500.000000,271629.406250,64463
2020-02-20,274000.000000,274500.000000,269000.000000,273500.000000,270639.875000,37609
2020-02-21,268500.000000,275000.000000,267500.000000,267500.000000,264702.625000,40858
2020-02-24,272500.000000,279500.000000,260000.000000,263000.000000,260249.671875,89274
2020-02-25,263000.000000,267500.000000,260500.000000,262000.000000,259260.125000,49084
2020-02-26,259500.000000,268000.000000,259000.000000,264500.000000,261733.984375,61033
2020-02-27,263000.000000,263500.000000,256000.000000,259000.000000,256291.500000,38562
2020-02-28,257500.000000,257500.000000,243500.000000,244000.000000,241448.359375,75193
2020-03-02,245500.000000,250000.000000,239500.000000,247000.000000,244417.000000,56974
2020-03-03,253500.000000,253500.000000,248500.000000,249500.000000,246890.843750,47963
2020-03-04,253000.000000,260000.000000,247500.000000,258500.000000,255796.734375,47037
2020-03-05,259500.000000,260500.000000,254500.000000,259500.000000,256786.281250,44751
2020-03-06,258500.000000,262000.000000,254500.000000,261500.000000,258765.359375,49725
2020-03-09,261500.000000,261500.000000,261500.000000,261500.000000,258765.359375,0
2020-03-10,254000.000000,254500.000000,247500.000000,249500.000000,246890.843750,54301
2020-03-11,249500.000000,251500.000000,243500.000000,246000.000000,243427.453125,50695
2020-03-12,246000.000000,246000.000000,246000.000000,246000.000000,243427.453125,0
2020-03-13,218500.000000,227500.000000,213000.000000,222000.000000,219678.437500,108516
2020-03-16,224000.000000,229000.000000,217500.000000,218000.000000,215720.265625,55956
2020-03-17,210000.000000,222000.000000,208500.000000,214000.000000,211762.093750,51639
2020-03-18,214500.000000,217000.000000,209500.000000,210000.000000,207803.921875,66872
2020-03-19,210000.000000,214000.000000,148000.000000,155000.000000,153379.078125,263704
2020-03-20,163000.000000,189500.000000,161000.000000,188000.000000,186033.984375,191267
2020-03-23,171500.000000,182000.000000,165000.000000,172500.000000,170696.078125,84035
2020-03-24,178000.000000,197500.000000,175500.000000,191000.000000,189002.609375,97920
2020-03-25,202000.000000,206000.000000,196000.000000,203000.000000,200877.125000,98228
2020-03-26,203000.000000,205500.000000,199000.000000,200000.000000,197908.500000,69775
2020-03-27,209000.000000,209000.000000,195500.000000,203500.000000,201371.890625,61337
2020-03-30,202000.000000,214500.000000,197000.000000,213500.000000,211267.328125,65338
2020-03-31,216000.000000,225000.000000,213500.000000,216000.000000,213741.171875,73363
2020-04-01,220000.000000,234000.000000,214000.000000,214000.000000,211762.093750,108866
2020-04-02,217000.000000,229000.000000,210500.000000,228000.000000,225615.687500,80386
2020-04-03,225500.000000,232500.000000,224500.000000,230500.000000,228089.546875,55439
2020-04-06,235000.000000,249000.000000,233000.000000,245500.000000,242932.687500,83605
2020-04-07,257000.000000,257000.000000,243000.000000,248000.000000,245406.531250,87731
2020-04-08,247500.000000,250000.000000,242500.000000,243500.000000,240953.593750,67150
2020-04-09,249000.000000,249000.000000,233500.000000,238500.000000,236005.875000,103520
2020-04-10,239500.000000,239500.000000,229000.000000,231500.000000,229079.078125,102231
2020-04-13,229000.000000,237000.000000,226500.000000,229000.000000,226605.234375,71348
2020-04-14,230000.000000,237000.000000,230000.000000,236000.000000,233532.031250,52513
2020-04-16,233000.000000,240500.000000,232000.000000,237000.000000,234521.562500,66956
2020-04-17,238000.000000,241500.000000,236000.000000,237000.000000,234521.562500,75134
2020-04-20,237000.000000,239000.000000,234500.000000,235500.000000,233037.250000,51991
2020-04-21,233000.000000,235500.000000,227500.000000,233500.000000,231058.171875,57790
2020-04-22,233000.000000,236000.000000,228000.000000,236000.000000,233532.031250,63289
2020-04-23,236500.000000,252000.000000,236000.000000,250000.000000,247385.625000,103721
2020-04-24,251000.000000,270000.000000,245000.000000,259000.000000,256291.500000,166536
2020-04-27,264500.000000,276000.000000,264000.000000,274000.000000,271134.656250,122239
2020-04-28,274000.000000,276000.000000,266000.000000,269500.000000,266681.687500,77212
2020-04-29,269500.000000,274500.000000,268500.000000,272500.000000,269650.312500,72019
2020-05-04,268000.000000,275000.000000,260000.000000,271000.000000,268166.000000,62449
2020-05-06,274500.000000,287000.000000,272000.000000,286500.000000,283503.906250,106384
2020-05-07,286500.000000,293000.000000,282500.000000,284500.000000,281524.843750,73423
2020-05-08,285500.000000,289000.000000,276000.000000,277000.000000,274103.281250,94497
2020-05-11,277500.000000,280500.000000,273500.000000,273500.000000,270639.875000,47980
2020-05-12,274500.000000,288000.000000,274000.000000,287500.000000,284493.468750,115839
2020-05-13,287500.000000,293500.000000,284000.000000,292000.000000,288946.406250,76455
2020-05-14,291000.000000,301000.000000,286000.000000,301000.000000,297852.281250,144145
2020-05-15,312000.000000,322500.000000,308000.000000,308500.000000,305273.843750,263558
2020-05-18,315500.000000,322000.000000,305000.000000,308000.000000,304779.093750,128313
2020-05-19,305500.000000,306000.000000,294000.000000,294500.000000,291420.250000,159699
2020-05-20,296500.000000,305000.000000,294500.000000,296000.000000,292904.562500,131278
2020-05-21,296500.000000,302000.000000,290500.000000,300000.000000,296862.750000,113048
2020-05-22,302000.000000,302500.000000,297500.000000,301500.000000,298347.062500,80322
2020-05-25,304000.000000,304000.000000,295500.000000,303000.000000,299831.375000,62267
2020-05-26,303500.000000,304500.000000,298000.000000,298500.000000,295378.437500,63891
2020-05-27,301000.000000,308500.000000,300500.000000,302000.000000,298841.843750,89616
2020-05-28,302000.000000,303500.000000,294000.000000,298000.000000,294883.656250,74989
2020-05-29,294000.000000,299500.000000,294000.000000,297000.000000,293894.125000,80710
2020-06-01,295000.000000,302000.000000,295000.000000,299000.000000,295873.187500,42750
2020-06-02,300500.000000,307000.000000,299000.000000,302000.000000,298841.843750,61739
