Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,1365,15,1.11,1380,1390,1345,68289,92929080,38588533620,28269988
2021-10-14,1350,55,4.25,1305,1350,1305,95329,126325870,38164483800,28269988
2021-10-13,1295,15,1.17,1260,1305,1260,71796,92506340,36609634460,28269988
2021-10-12,1280,-35,-2.66,1315,1325,1255,117233,149493985,36185584640,28269988
2021-10-08,1315,5,0.38,1320,1335,1310,135026,177709910,37175034220,28269988
2021-10-07,1310,35,2.75,1275,1315,1275,119262,154814885,37033684280,28269988
2021-10-06,1275,-35,-2.67,1315,1345,1255,111624,143349785,36044234700,28269988
2021-10-05,1310,-40,-2.96,1375,1375,1300,78180,103096455,37033684280,28269988
2021-10-01,1350,-50,-3.57,1420,1420,1320,125620,169517005,38164483800,28269988
2021-09-30,1400,60,4.48,1335,1500,1325,199080,280231445,39577983200,28269988
2021-09-29,1340,-25,-1.83,1335,1350,1315,96324,128531005,37881783920,28269988
2021-09-28,1365,-35,-2.5,1405,1410,1360,147834,203760540,38588533620,28269988
2021-09-27,1400,-10,-0.71,1410,1440,1395,113921,160407445,39577983200,28269988
2021-09-24,1410,-20,-1.4,1425,1460,1410,165300,235245955,39860683080,28269988
2021-09-23,1430,-45,-3.05,1470,1485,1430,124027,178647715,40426082840,28269988
2021-09-17,1475,0,0,1470,1480,1435,188487,275119485,41698232300,28269988
2021-09-16,1475,-45,-2.96,1520,1525,1450,129940,192210985,41698232300,28269988
2021-09-15,1520,-5,-0.33,1525,1530,1500,81558,123558305,42970381760,28269988
2021-09-14,1525,25,1.67,1495,1540,1495,67625,102756410,43111731700,28269988
2021-09-13,1500,-5,-0.33,1510,1525,1485,61714,92358925,42404982000,28269988
2021-09-10,1505,0,0,1505,1520,1475,47755,71496565,42546331940,28269988
2021-09-09,1505,-5,-0.33,1490,1550,1490,76752,115953820,42546331940,28269988
2021-09-08,1510,-45,-2.89,1555,1555,1500,136530,207195000,42687681880,28269988
2021-09-07,1555,-20,-1.27,1580,1585,1540,85727,133084485,43959831340,28269988
2021-09-06,1575,-5,-0.32,1585,1595,1550,47715,74728325,44525231100,28269988
2021-09-03,1580,-5,-0.32,1605,1605,1560,72991,114856665,44666581040,28269988
2021-09-02,1585,0,0,1580,1600,1575,87150,138190815,44807930980,28269988
2021-09-01,1585,-5,-0.31,1595,1605,1550,55946,87849470,44807930980,28269988
2021-08-31,1590,-10,-0.63,1600,1605,1550,63258,99552740,44949280920,28269988
2021-08-30,1600,-10,-0.62,1610,1630,1585,39031,62578580,45231980800,28269988
2021-08-27,1610,5,0.31,1590,1615,1575,44599,71414125,45514680680,28269988
2021-08-26,1605,20,1.26,1585,1630,1550,121840,192099485,45373330740,28269988
2021-08-25,1585,25,1.6,1565,1595,1550,47628,74524400,44807930980,28269988
2021-08-24,1560,40,2.63,1520,1590,1520,79267,124173790,44101181280,28269988
2021-08-23,1520,30,2.01,1490,1545,1445,80021,121463880,42970381760,28269988
2021-08-20,1490,-80,-5.1,1555,1570,1470,214160,324004185,42122282120,28269988
2021-08-19,1570,-20,-1.26,1575,1615,1530,171543,267885660,44383881160,28269988
