Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,119500.000000,119500.000000,117500.000000,118000.000000,115650.054688,445922
2020-01-21,118000.000000,118500.000000,116500.000000,117000.000000,114669.968750,545156
2020-01-22,117500.000000,127000.000000,117500.000000,127000.000000,124470.820313,2773421
2020-01-23,130000.000000,131500.000000,128000.000000,130500.000000,127901.117188,2492785
2020-01-28,127000.000000,132500.000000,127000.000000,131000.000000,128391.164063,1841752
2020-01-29,132000.000000,133000.000000,129000.000000,131000.000000,128391.164063,1318578
2020-01-30,130000.000000,130500.000000,126500.000000,127500.000000,124960.859375,1034661
2020-01-31,128500.000000,129500.000000,124500.000000,125000.000000,122510.648438,1035126
2020-02-03,123000.000000,125000.000000,121000.000000,123500.000000,121040.523438,1270442
2020-02-04,123500.000000,126000.000000,122500.000000,124000.000000,121530.570313,1203992
2020-02-05,125000.000000,126000.000000,123500.000000,124000.000000,121530.570313,1032267
2020-02-06,125500.000000,133000.000000,125500.000000,132000.000000,129371.250000,1659774
2020-02-07,130500.000000,131000.000000,127500.000000,131000.000000,128391.164063,999598
2020-02-10,129500.000000,132000.000000,129000.000000,130000.000000,127411.070313,669628
2020-02-11,131000.000000,135000.000000,130500.000000,132500.000000,129861.289063,949247
2020-02-12,132500.000000,137500.000000,132500.000000,136000.000000,133291.593750,1373302
2020-02-13,137000.000000,137500.000000,133000.000000,133000.000000,130351.328125,1035208
2020-02-14,132500.000000,135000.000000,131500.000000,133500.000000,130841.375000,591584
2020-02-17,133500.000000,136000.000000,132500.000000,135500.000000,132801.546875,555451
2020-02-18,134000.000000,134500.000000,131000.000000,132500.000000,129861.289063,744150
2020-02-19,133000.000000,134000.000000,130500.000000,131500.000000,128881.203125,776121
2020-02-20,132500.000000,133000.000000,129000.000000,130000.000000,127411.070313,711858
2020-02-21,128000.000000,129500.000000,127000.000000,128000.000000,125450.906250,686417
2020-02-24,124500.000000,125000.000000,122000.000000,122500.000000,120060.437500,911932
2020-02-25,122500.000000,124500.000000,122000.000000,122500.000000,120060.437500,796176
2020-02-26,121000.000000,124000.000000,120000.000000,122500.000000,120060.437500,1001834
2020-02-27,122500.000000,123500.000000,120000.000000,121000.000000,118590.312500,779402
2020-02-28,118500.000000,119000.000000,114000.000000,115000.000000,112709.796875,1777353
2020-03-02,116000.000000,116000.000000,113000.000000,113500.000000,111239.671875,1183337
2020-03-03,116000.000000,116500.000000,112000.000000,112500.000000,110259.585938,1414986
2020-03-04,112000.000000,114000.000000,112000.000000,113000.000000,110749.632813,1319901
2020-03-05,115500.000000,116000.000000,113000.000000,114000.000000,111729.710938,1135241
2020-03-06,113000.000000,113500.000000,110000.000000,110500.000000,108299.414063,1746834
2020-03-09,110500.000000,110500.000000,110500.000000,110500.000000,108299.414063,0
2020-03-10,102500.000000,105000.000000,101000.000000,102000.000000,99968.687500,2491487
2020-03-11,103000.000000,103000.000000,99700.000000,100000.000000,98008.523438,2005654
2020-03-12,100000.000000,100000.000000,100000.000000,100000.000000,98008.523438,0
2020-03-13,86500.000000,90200.000000,83500.000000,87200.000000,85463.429688,4835445
2020-03-16,88300.000000,89500.000000,82900.000000,82900.000000,81249.062500,2674557
2020-03-17,78100.000000,83400.000000,78100.000000,80100.000000,78504.828125,2492208
2020-03-18,80500.000000,81200.000000,73500.000000,73500.000000,72036.265625,2679420
2020-03-19,75000.000000,75900.000000,65100.000000,65900.000000,64587.617188,3138004
2020-03-20,67500.000000,72400.000000,65000.000000,71100.000000,69684.054688,3349914
2020-03-23,67200.000000,71000.000000,66200.000000,68900.000000,67527.867188,2391540
2020-03-24,71500.000000,75800.000000,69800.000000,74800.000000,73310.375000,2856282
2020-03-25,79800.000000,85600.000000,78800.000000,84500.000000,82817.203125,4604452
2020-03-26,85800.000000,90200.000000,82300.000000,84900.000000,83209.234375,3787074
2020-03-27,89700.000000,90000.000000,84500.000000,86400.000000,84679.367188,2513938
2020-03-30,82800.000000,86400.000000,82100.000000,85400.000000,83699.273438,1743720
2020-03-31,87700.000000,88700.000000,86000.000000,88700.000000,86933.554688,2138183
2020-04-01,88500.000000,90100.000000,85300.000000,85400.000000,83699.273438,2139848
2020-04-02,85300.000000,86800.000000,83000.000000,86600.000000,84875.375000,1487243
2020-04-03,86600.000000,87000.000000,85600.000000,86300.000000,84581.351563,1170052
2020-04-06,86500.000000,88800.000000,85900.000000,88800.000000,87031.562500,1688599
2020-04-07,92100.000000,92500.000000,88600.000000,90400.000000,88599.703125,2601711
2020-04-08,89800.000000,91900.000000,88900.000000,90000.000000,88207.671875,1785939
2020-04-09,92300.000000,97900.000000,91100.000000,97100.000000,95166.273438,3787201
2020-04-10,97400.000000,101500.000000,96200.000000,99700.000000,97714.500000,2806785
2020-04-13,98800.000000,99000.000000,97400.000000,97800.000000,95852.335938,1339638
2020-04-14,98600.000000,101500.000000,97700.000000,100000.000000,98008.523438,1582587
2020-04-16,98900.000000,100500.000000,98300.000000,99100.000000,97126.437500,1341452
2020-04-17,101000.000000,103500.000000,100000.000000,100500.000000,98498.562500,1487879
2020-04-20,100000.000000,100500.000000,97100.000000,97600.000000,95656.312500,2142176
2020-04-21,96100.000000,96500.000000,91300.000000,93500.000000,91637.960938,3634142
2020-04-22,90800.000000,95200.000000,89400.000000,92600.000000,90755.890625,3115871
2020-04-23,93700.000000,95100.000000,92100.000000,92400.000000,90559.867188,3196313
2020-04-24,91300.000000,92300.000000,90100.000000,90100.000000,88305.679688,2135488
2020-04-27,90300.000000,92500.000000,90200.000000,91600.000000,89775.804688,1219677
2020-04-28,92500.000000,94400.000000,92200.000000,93200.000000,91343.937500,1448692
2020-04-29,93500.000000,94000.000000,92400.000000,93600.000000,91735.976563,1193284
2020-05-04,91100.000000,92900.000000,90700.000000,91500.000000,89677.796875,1264378
2020-05-06,93300.000000,94200.000000,92600.000000,93200.000000,91343.937500,1039600
2020-05-07,92800.000000,93000.000000,91800.000000,92600.000000,90755.890625,826239
2020-05-08,93000.000000,95400.000000,93000.000000,94500.000000,92618.054688,1749677
2020-05-11,95800.000000,96500.000000,93500.000000,93700.000000,91833.984375,1889278
2020-05-12,93200.000000,93800.000000,91100.000000,91900.000000,90069.828125,1259874
2020-05-13,90500.000000,93100.000000,90500.000000,93100.000000,91245.937500,966892
2020-05-14,92600.000000,92900.000000,91500.000000,92300.000000,90461.867188,982612
2020-05-15,92000.000000,92700.000000,91200.000000,92300.000000,90461.867188,822472
2020-05-18,92100.000000,92200.000000,91000.000000,91900.000000,90069.828125,741214
2020-05-19,95000.000000,99400.000000,94700.000000,99100.000000,97126.437500,4564370
2020-05-20,98000.000000,98300.000000,96300.000000,97300.000000,95362.289063,1828158
2020-05-21,98600.000000,98700.000000,96600.000000,97200.000000,95264.281250,1471917
2020-05-22,97100.000000,97200.000000,94000.000000,94500.000000,92618.054688,1619476
2020-05-25,94900.000000,96200.000000,94000.000000,96000.000000,94088.179688,1185541
2020-05-26,96000.000000,99500.000000,95500.000000,97800.000000,95852.335938,2006216
2020-05-27,98700.000000,99500.000000,97300.000000,98100.000000,96146.359375,1620664
2020-05-28,99500.000000,99600.000000,96200.000000,97200.000000,95264.281250,1602694
2020-05-29,96300.000000,99200.000000,96300.000000,98000.000000,96048.351563,2010414
2020-06-01,98000.000000,101500.000000,98000.000000,100000.000000,98008.523438,1908428
2020-06-02,99500.000000,103000.000000,98700.000000,102500.000000,100458.734375,2155405
2020-06-03,106000.000000,110000.000000,105500.000000,108500.000000,106339.250000,3118795
2020-06-04,112000.000000,113000.000000,105000.000000,108500.000000,106339.250000,2823041
2020-06-05,108000.000000,112000.000000,106500.000000,111000.000000,108789.460938,2128094
2020-06-08,114000.000000,114500.000000,111500.000000,113000.000000,110749.632813,1640392
2020-06-09,114000.000000,115000.000000,110500.000000,112000.000000,109769.539063,1504910
2020-06-10,111000.000000,112000.000000,109000.000000,111500.000000,109279.500000,1377837
2020-06-11,110000.000000,111000.000000,107000.000000,108500.000000,106339.250000,2376313
2020-06-12,101500.000000,105000.000000,101500.000000,103500.000000,101438.812500,1977558
2020-06-15,102000.000000,102500.000000,97000.000000,97000.000000,95068.265625,2022775
2020-06-16,99100.000000,101500.000000,99100.000000,101500.000000,99478.648438,1389765
2020-06-17,100500.000000,101000.000000,98800.000000,100500.000000,98498.562500,1326645
2020-06-18,99100.000000,102000.000000,98400.000000,100000.000000,98008.523438,1155455
2020-06-19,101000.000000,101500.000000,99100.000000,100000.000000,98008.523438,903928
2020-06-22,99100.000000,100000.000000,98500.000000,98500.000000,96538.390625,921187
