Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,1015,0,0,1020,1035,1000,257664,261241765,97579428520,96137368
2021-10-14,1015,5,0.5,1010,1025,1000,211123,212895990,97579428520,96137368
2021-10-13,1010,23,2.33,988,1010,988,291739,292135532,97098741680,96137368
2021-10-12,987,-7,-0.7,986,1005,985,242901,241109831,94887582216,96137368
2021-10-08,994,12,1.22,986,995,980,220256,217974869,95560543792,96137368
2021-10-07,982,31,3.26,951,989,951,215555,210849693,94406895376,96137368
2021-10-06,951,3,0.32,952,1020,945,400610,389799660,91426636968,96137368
2021-10-05,948,-42,-4.24,994,997,936,449814,428813803,91138224864,96137368
2021-10-01,990,-25,-2.46,1005,1015,980,500296,498350975,95175994320,96137368
2021-09-30,1015,0,0,1020,1025,1005,213250,216102820,97579428520,96137368
2021-09-29,1015,-10,-0.98,1025,1030,1000,346385,350074835,97579428520,96137368
2021-09-28,1025,-25,-2.38,1055,1065,1025,268247,278570750,98540802200,96137368
2021-09-27,1050,15,1.45,1055,1055,1025,261239,272400835,1.00944E+11,96137368
2021-09-24,1035,-20,-1.9,1055,1055,1035,304830,317371200,99502175880,96137368
2021-09-23,1055,-10,-0.94,1055,1065,1040,231199,243218185,1.01425E+11,96137368
2021-09-17,1065,-5,-0.47,1080,1080,1015,331756,347521890,1.02386E+11,96137368
2021-09-16,1070,-5,-0.47,1085,1085,1065,207791,222503315,1.02867E+11,96137368
2021-09-15,1075,-15,-1.38,1090,1100,1075,284072,307551995,1.03348E+11,96137368
2021-09-14,1090,-5,-0.46,1095,1110,1080,353381,384778615,1.0479E+11,96137368
2021-09-13,1095,-5,-0.45,1130,1130,1085,303989,335249325,1.0527E+11,96137368
2021-09-10,1100,10,0.92,1080,1125,1075,472803,517952245,1.05751E+11,96137368
2021-09-09,1090,-25,-2.24,1120,1120,1090,366886,404225920,1.0479E+11,96137368
2021-09-08,1115,5,0.45,1120,1165,1095,650881,730633850,1.07193E+11,96137368
2021-09-07,1110,-10,-0.89,1125,1135,1105,226623,252024010,1.06712E+11,96137368
2021-09-06,1120,-5,-0.44,1130,1130,1105,351201,391703345,1.07674E+11,96137368
2021-09-03,1125,-5,-0.44,1130,1140,1115,308596,347645670,1.08155E+11,96137368
2021-09-02,1130,0,0,1145,1145,1120,219167,247221410,1.08635E+11,96137368
2021-09-01,1130,5,0.44,1125,1135,1115,204474,230928240,1.08635E+11,96137368
2021-08-31,1125,-5,-0.44,1135,1145,1110,267751,300356930,1.08155E+11,96137368
2021-08-30,1130,15,1.35,1120,1135,1100,302532,339331150,1.08635E+11,96137368
2021-08-27,1115,0,0,1090,1120,1080,293971,323634210,1.07193E+11,96137368
2021-08-26,1115,10,0.9,1110,1125,1100,193073,214428770,1.07193E+11,96137368
2021-08-25,1105,5,0.45,1115,1125,1090,447160,494106635,1.06232E+11,96137368
2021-08-24,1100,40,3.77,1085,1115,1075,399436,439626000,1.05751E+11,96137368
2021-08-23,1060,10,0.95,1070,1100,1060,424026,457917290,1.01906E+11,96137368
2021-08-20,1050,-50,-4.55,1095,1115,1040,521329,556114615,1.00944E+11,96137368
2021-08-19,1100,-35,-3.08,1135,1155,1100,427200,482042455,1.05751E+11,96137368
2021-08-18,1135,30,2.71,1110,1140,1095,638442,713381965,1.09116E+11,96137368
