Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,41700.000000,41900.000000,41450.000000,41600.000000,40937.578125,722748
2020-01-21,41700.000000,41750.000000,41300.000000,41600.000000,40937.578125,567421
2020-01-22,41900.000000,42650.000000,41300.000000,42600.000000,41921.656250,1435894
2020-01-23,43300.000000,44300.000000,42900.000000,43400.000000,42708.917969,2060957
2020-01-28,42200.000000,42800.000000,42000.000000,42700.000000,42020.062500,1631227
2020-01-29,42750.000000,42750.000000,42000.000000,42550.000000,41872.453125,1025015
2020-01-30,42450.000000,42750.000000,41650.000000,41950.000000,41282.007813,1030375
2020-01-31,41900.000000,42350.000000,40900.000000,40900.000000,40248.726563,1349571
2020-02-03,40200.000000,40550.000000,39100.000000,40100.000000,39461.464844,1428913
2020-02-04,40900.000000,41150.000000,40150.000000,40250.000000,39609.078125,1122184
2020-02-05,39950.000000,40200.000000,39350.000000,39400.000000,38772.613281,1554328
2020-02-06,39750.000000,41700.000000,39250.000000,41300.000000,40642.355469,1405887
2020-02-07,40550.000000,40750.000000,40200.000000,40500.000000,39855.097656,1054261
2020-02-10,40100.000000,40850.000000,39900.000000,40650.000000,40002.707031,701557
2020-02-11,41100.000000,42050.000000,40900.000000,41350.000000,40691.562500,1141865
2020-02-12,40950.000000,41900.000000,40800.000000,41650.000000,40986.785156,1012598
2020-02-13,41750.000000,42250.000000,41200.000000,41250.000000,40593.152344,951609
2020-02-14,41000.000000,42300.000000,40650.000000,41650.000000,40986.785156,984696
2020-02-17,41500.000000,41650.000000,41200.000000,41450.000000,40789.968750,776081
2020-02-18,41150.000000,41900.000000,40900.000000,41350.000000,40691.562500,809542
2020-02-19,41500.000000,41650.000000,41050.000000,41300.000000,40642.355469,818025
2020-02-20,41250.000000,41500.000000,40500.000000,40550.000000,39904.300781,1144520
2020-02-21,40100.000000,40750.000000,40000.000000,40050.000000,39412.261719,971041
2020-02-24,39050.000000,39450.000000,38150.000000,38600.000000,37985.351563,1185870
2020-02-25,38300.000000,39100.000000,37950.000000,38150.000000,37542.515625,1407263
2020-02-26,37650.000000,38650.000000,37200.000000,38150.000000,37542.515625,1168647
2020-02-27,37600.000000,38150.000000,37500.000000,37700.000000,37099.683594,1053667
2020-02-28,37500.000000,37600.000000,36000.000000,36250.000000,35672.769531,1633356
2020-03-02,35200.000000,36700.000000,34500.000000,34500.000000,33950.636719,2981038
2020-03-03,35900.000000,35950.000000,34750.000000,34900.000000,34344.269531,1411743
2020-03-04,35150.000000,36250.000000,34900.000000,35750.000000,35180.734375,1614490
2020-03-05,35800.000000,36300.000000,35500.000000,35900.000000,35328.343750,963826
2020-03-06,35650.000000,35650.000000,34500.000000,34650.000000,34098.250000,1357464
2020-03-09,34650.000000,34650.000000,34650.000000,34650.000000,34098.250000,0
2020-03-10,32650.000000,32950.000000,31950.000000,31950.000000,31441.242188,1625705
2020-03-11,32000.000000,32900.000000,31500.000000,31800.000000,31293.630859,1512601
2020-03-12,31800.000000,31800.000000,31800.000000,31800.000000,31293.630859,0
2020-03-13,27500.000000,29850.000000,26500.000000,28850.000000,28390.605469,2777060
2020-03-16,28900.000000,29650.000000,27050.000000,27100.000000,26668.470703,1862674
2020-03-17,24950.000000,26550.000000,24900.000000,25350.000000,24946.337891,2682844
2020-03-18,25650.000000,25700.000000,24600.000000,25300.000000,24897.134766,2019043
2020-03-19,25550.000000,25950.000000,22300.000000,22550.000000,22190.923828,2305074
2020-03-20,22750.000000,24400.000000,21750.000000,24150.000000,23765.445313,3015123
2020-03-23,22500.000000,23000.000000,21500.000000,21500.000000,21157.642578,2365341
2020-03-24,22300.000000,23100.000000,21650.000000,23100.000000,22732.166016,2947942
2020-03-25,24700.000000,25450.000000,23750.000000,25150.000000,24749.523438,5010440
2020-03-26,25700.000000,26300.000000,24600.000000,25050.000000,24651.115234,3897513
2020-03-27,26450.000000,26700.000000,25000.000000,25500.000000,25093.949219,2820545
2020-03-30,24650.000000,25400.000000,24200.000000,24950.000000,24552.707031,1986835
2020-03-31,25450.000000,26100.000000,25300.000000,26000.000000,25585.988281,2219339
2020-04-01,26050.000000,27000.000000,25500.000000,25550.000000,25143.152344,2170012
2020-04-02,25500.000000,26050.000000,24900.000000,25800.000000,25389.171875,1658336
2020-04-03,25400.000000,25900.000000,25200.000000,25400.000000,24995.541016,1461529
2020-04-06,25750.000000,27000.000000,25550.000000,26800.000000,26373.248047,1721874
2020-04-07,28150.000000,28550.000000,27500.000000,28250.000000,27800.160156,2680220
2020-04-08,28350.000000,29300.000000,27700.000000,28250.000000,27800.160156,2550320
2020-04-09,29350.000000,30400.000000,28750.000000,30150.000000,29669.904297,3167177
2020-04-10,30550.000000,31800.000000,30150.000000,31000.000000,30506.369141,2293372
