Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,1825,0,0,1830,1845,1800,88791,161892415,69421819225,38039353
2021-10-14,1825,5,0.27,1820,1840,1780,103420,188227675,69421819225,38039353
2021-10-13,1820,35,1.96,1785,1840,1750,86998,155876830,69231622460,38039353
2021-10-12,1785,-55,-2.99,1850,1850,1785,76998,139250515,67900245105,38039353
2021-10-08,1840,-55,-2.9,1905,1925,1820,125383,232046130,69992409520,38039353
2021-10-07,1895,90,4.99,1810,1935,1795,209964,387652435,72084573935,38039353
2021-10-06,1805,-50,-2.7,1840,1875,1765,135308,245040880,68661032165,38039353
2021-10-05,1855,-50,-2.62,1870,1905,1780,159218,293768370,70562999815,38039353
2021-10-01,1905,-45,-2.31,1920,1945,1860,130082,246961475,72464967465,38039353
2021-09-30,1950,20,1.04,1935,1950,1850,258565,490992760,74176738350,38039353
2021-09-29,1930,50,2.66,1880,1935,1810,330006,613446210,73415951290,38039353
2021-09-28,1880,-100,-5.05,1980,1980,1870,399016,763659445,71513983640,38039353
2021-09-27,1980,-50,-2.46,2010,2025,1960,277884,550900015,75317918940,38039353
2021-09-24,2030,10,0.5,2055,2055,2010,193011,391986765,77219886590,38039353
2021-09-23,2020,-55,-2.65,2070,2070,2010,226758,460528900,76839493060,38039353
2021-09-17,2075,-25,-1.19,2100,2100,2035,431996,885867930,78931657475,38039353
2021-09-16,2100,-10,-0.47,2285,2300,2060,2614632,5684468470,79882641300,38039353
2021-09-15,2110,50,2.43,2060,2180,2030,478796,1013080800,80263034830,38039353
2021-09-14,2060,5,0.24,2055,2090,2035,298770,614083420,78361067180,38039353
2021-09-13,2055,-100,-4.64,2130,2170,2035,726544,1505515080,78170870415,38039353
2021-09-10,2155,20,0.94,2135,2325,2055,3703583,8234106555,81974805715,38039353
2021-09-09,2135,-10,-0.47,2175,2270,2110,681236,1500965230,81214018655,38039353
2021-09-08,2145,-5,-0.23,2150,2160,2090,205817,436225490,81594412185,38039353
2021-09-07,2150,-35,-1.6,2185,2190,2105,198235,423811080,81784608950,38039353
2021-09-06,2185,90,4.3,2100,2205,2100,558063,1214327750,83115986305,38039353
2021-09-03,2095,25,1.21,2085,2100,2050,150302,311590310,79692444535,38039353
2021-09-02,2070,-40,-1.9,2115,2115,2050,196297,406626630,78741460710,38039353
2021-09-01,2110,-35,-1.63,2145,2145,2085,196619,414426515,80263034830,38039353
2021-08-31,2145,-80,-3.6,2240,2250,2105,448893,977488200,81594412185,38039353
2021-08-30,2225,150,7.23,2100,2245,2100,1046061,2303074030,84637560425,38039353
2021-08-27,2075,-25,-1.19,2115,2115,2035,149358,309290760,78931657475,38039353
2021-08-26,2100,15,0.72,2085,2175,2085,167922,356458295,79882641300,38039353
2021-08-25,2085,-45,-2.11,2160,2160,2060,178239,374168455,79312051005,38039353
2021-08-24,2130,20,0.95,2090,2185,2090,146480,310182215,81023821890,38039353
2021-08-23,2110,-5,-0.24,2115,2150,2000,171037,357903445,80263034830,38039353
2021-08-20,2115,-170,-7.44,2250,2280,2020,765909,1631158775,80453231595,38039353
2021-08-19,2285,85,3.86,2185,2285,2145,420571,934127035,86919921605,38039353
2021-08-18,2200,20,0.92,2145,2215,2135,222652,485738335,83686576600,38039353
2021-08-17,2180,-75,-3.33,2225,2245,2135,346939,756648425,82925789540,38039353
2021-08-13,2255,40,1.81,2215,2265,2165,666007,1482951900,85778741015,38039353
2021-08-12,2215,160,7.79,2025,2270,2020,1255889,2726101710,84257166895,38039353
2021-08-11,2055,-40,-1.91,2085,2095,2030,72841,149970880,78170870415,38039353
2021-08-10,2095,-40,-1.87,2135,2135,2060,123594,258609440,79692444535,38039353
2021-08-09,2135,55,2.64,2105,2150,2060,142700,299876465,81214018655,38039353
2021-08-06,2080,-55,-2.58,2145,2145,2060,151955,317183240,79121854240,38039353
2021-08-05,2135,-30,-1.39,2120,2190,2120,281175,602743030,81214018655,38039353
2021-08-04,2165,50,2.36,2095,2180,2060,152987,326713635,82355199245,38039353
2021-08-03,2115,-75,-3.42,2230,2235,2060,299971,640156590,80453231595,38039353
2021-08-02,2190,60,2.82,2185,2325,2180,1005348,2252490490,83306183070,38039353
2021-07-30,2130,15,0.71,2110,2220,2095,454368,982900265,81023821890,38039353
2021-07-29,2115,15,0.71,2115,2170,2070,171487,363659645,80453231595,38039353
2021-07-28,2100,75,3.7,2010,2100,1985,302839,619240705,79882641300,38039353
2021-07-27,2025,25,1.25,2000,2050,2000,76748,155284425,75988560375,37525215
2021-07-26,2000,-50,-2.44,2070,2070,2000,128802,261392000,75050430000,37525215
2021-07-23,2050,45,2.24,2000,2080,1970,140172,285493625,76926690750,37525215
2021-07-22,2005,5,0.25,2000,2020,1970,155407,309963840,75238056075,37525215
2021-07-21,2000,-40,-1.96,2040,2070,1985,173411,350483670,75050430000,37525215
2021-07-20,2040,-70,-3.32,2095,2095,2005,236580,481247395,76551438600,37525215
2021-07-19,2110,20,0.96,2090,2120,2045,462785,961198210,79178203650,37525215
2021-07-16,2090,-15,-0.71,2130,2135,2075,133157,278420015,78427699350,37525215
2021-07-15,2105,-50,-2.32,2110,2175,2100,170757,361100515,78990577575,37525215
2021-07-14,2155,-55,-2.49,2220,2240,2120,284760,614609600,80866838325,37525215
2021-07-13,2210,50,2.31,2140,2210,2105,467980,1011976800,82930725150,37525215
2021-07-12,2160,30,1.41,2130,2205,2085,326529,699615445,81054464400,37525215
2021-07-09,2130,-140,-6.17,2500,2500,2040,3193372,7184046960,79928707950,37525215
2021-07-08,2270,85,3.89,2185,2380,2185,1439584,3256992810,85182238050,37525215
2021-07-07,2185,90,4.3,2095,2225,2045,663999,1434527765,81992594775,37525215
2021-07-06,2095,45,2.2,2080,2095,2000,300708,617979020,78615325425,37525215
2021-07-05,2050,-50,-2.38,2145,2145,2045,250311,517553300,76926690750,37525215
2021-07-02,2100,-130,-5.83,2235,2285,2060,731655,1597418615,78802951500,37525215
2021-07-01,2230,150,7.21,2090,2285,2085,865588,1910830220,82620335940,37049478
2021-06-30,2080,-85,-3.93,2165,2180,2010,626561,1306999350,77062914240,37049478
2021-06-29,2165,-20,-0.92,2180,2190,2130,257574,555804475,80212119870,37049478
2021-06-28,2185,0,0,2215,2230,2165,337898,738228835,80953109430,37049478
2021-06-25,2185,55,2.58,2155,2220,2145,485479,1062292810,80953109430,37049478
2021-06-24,2130,-65,-2.96,2165,2225,2095,470498,1007561455,78915388140,37049478
2021-06-23,2195,-75,-3.3,2295,2330,2185,437550,985668075,81323604210,37049478
2021-06-22,2270,10,0.44,2270,2350,2200,413004,935590535,84102315060,37049478
2021-06-21,2260,-65,-2.8,2240,2270,2090,887552,1940921220,83731820280,37049478
2021-06-18,2325,25,1.09,2315,2390,2210,946880,2214105380,86140036350,37049478
2021-06-17,2300,100,4.55,2205,2365,2155,1487968,3418529865,85213799400,37049478
2021-06-16,2200,105,5.01,2100,2230,2090,1429016,3108976220,81508851600,37049478
2021-06-15,2095,55,2.7,2050,2105,2020,579671,1206046970,77618656410,37049478
2021-06-14,2040,70,3.55,1970,2070,1970,465810,946345510,75580935120,37049478
2021-06-11,1970,-15,-0.76,1985,2010,1945,361670,709005975,72987471660,37049478
2021-06-10,1985,-10,-0.5,1970,2020,1960,311943,622308765,73543213830,37049478
2021-06-09,1995,120,6.4,1900,2030,1880,917466,1813202785,73913708610,37049478
2021-06-08,1875,-75,-3.85,1905,1930,1870,351195,664439235,69467771250,37049478
2021-06-07,1950,40,2.09,1910,1960,1870,308650,596195610,72246482100,37049478
2021-06-04,1910,50,2.69,1880,1915,1835,243643,457874645,70764502980,37049478
2021-06-03,1860,-10,-0.53,1910,1910,1840,138772,259272500,68912029080,37049478
2021-06-02,1870,45,2.47,1820,1910,1820,308976,578761560,69282523860,37049478
2021-06-01,1825,-15,-0.82,1840,1885,1780,252262,462928660,67615297350,37049478
2021-05-31,1840,95,5.44,1745,1845,1725,287899,522899135,68171039520,37049478
2021-05-28,1745,50,2.95,1685,1750,1685,227033,393233275,64651339110,37049478
2021-05-27,1695,50,3.04,1660,1705,1635,105799,177388655,62798865210,37049478
2021-05-26,1645,65,4.11,1590,1650,1580,116493,188525440,60946391310,37049478
2021-05-25,1580,0,0,1580,1635,1545,265055,419100325,58538175240,37049478
2021-05-24,1580,-130,-7.6,1710,1710,1580,346358,559033205,58538175240,37049478
2021-05-21,1710,-70,-3.93,1765,1770,1710,235191,407422675,63354607380,37049478
2021-05-20,1780,20,1.14,1755,1785,1745,40362,70987210,65948070840,37049478
2021-05-18,1760,-15,-0.85,1760,1780,1750,65085,114444050,65207081280,37049478
2021-05-17,1775,-25,-1.39,1790,1820,1755,80901,143571460,65762823450,37049478
2021-05-14,1800,20,1.12,1795,1810,1775,62203,111345655,66689060400,37049478
2021-05-13,1780,-15,-0.84,1735,1845,1735,171933,307622200,65948070840,37049478
2021-05-12,1795,-55,-2.97,1835,1850,1790,88125,160198095,66503813010,37049478
2021-05-11,1850,-40,-2.12,1865,1870,1840,70671,130676605,68541534300,37049478
2021-05-10,1890,10,0.53,1900,1900,1835,62477,116582715,70023513420,37049478
2021-05-07,1880,30,1.62,1855,1900,1835,125025,234744925,69653018640,37049478
2021-05-06,1850,65,3.64,1800,1855,1780,92997,169888605,68541534300,37049478
2021-05-04,1785,-10,-0.56,1810,1815,1760,88760,157360300,66133318230,37049478
2021-05-03,1795,-5,-0.28,1805,1845,1765,187104,338607550,66503813010,37049478
2021-04-30,1800,-40,-2.17,1830,1845,1800,106385,193290230,66689060400,37049478
2021-04-29,1840,-30,-1.6,1870,1890,1835,81731,151560960,68171039520,37049478
2021-04-28,1870,-20,-1.06,1900,1910,1850,179281,335962680,69282523860,37049478
2021-04-27,1890,-25,-1.31,1910,1950,1890,197133,375996395,70023513420,37049478
2021-04-26,1915,-15,-0.78,1910,1940,1910,102738,197581610,70949750370,37049478
2021-04-23,1930,0,0,1930,1950,1900,137211,263234495,71505492540,37049478
2021-04-22,1930,0,0,1950,1955,1920,146279,282663120,71505492540,37049478
2021-04-21,1930,-10,-0.52,1940,1965,1920,140764,273211160,71505492540,37049478
2021-04-20,1940,10,0.52,1925,1945,1895,173480,332831170,71875987320,37049478
2021-04-19,1930,-40,-2.03,1970,1970,1930,210080,406980150,71505492540,37049478
2021-04-16,1970,5,0.25,1965,1980,1950,161047,315533125,72987471660,37049478
2021-04-15,1965,-65,-3.2,2030,2030,1945,374534,737809000,72802224270,37049478
2021-04-14,2030,40,2.01,2005,2030,1970,308545,617762265,75210440340,37049478
2021-04-13,1990,0,0,1990,2000,1955,185182,365901580,73728461220,37049478
2021-04-12,1990,0,0,1990,1995,1955,201152,396394265,73728461220,37049478
2021-04-09,1990,-50,-2.45,2030,2035,1965,523494,1041177265,73728461220,37049478
