Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,26550,-150,-0.56,26900,27000,26400,235310,6244192450,5.01795E+11,18900000
2021-10-14,26700,-100,-0.37,26900,27000,26400,341077,9069966450,5.0463E+11,18900000
2021-10-13,26800,300,1.13,26600,27200,26600,203174,5456157400,5.0652E+11,18900000
2021-10-12,26500,350,1.34,26000,26750,25650,201201,5300157650,5.0085E+11,18900000
2021-10-08,26150,-950,-3.51,27350,27350,25650,495589,12913864000,4.94235E+11,18900000
2021-10-07,27100,500,1.88,27300,27700,26650,298295,8049892700,5.1219E+11,18900000
2021-10-06,26600,-1450,-5.17,28350,28450,26400,472914,12803133400,5.0274E+11,18900000
2021-10-05,28050,750,2.75,27850,28700,27800,425473,12013539200,5.30145E+11,18900000
2021-10-01,27300,-350,-1.27,27400,27550,26800,235097,6383646900,5.1597E+11,18900000
2021-09-30,27650,-550,-1.95,28350,28400,27600,191058,5325595700,5.22585E+11,18900000
2021-09-29,28200,500,1.81,26900,28350,26850,317127,8789985300,5.3298E+11,18900000
2021-09-28,27700,-700,-2.46,28550,28550,27300,304675,8454855500,5.2353E+11,18900000
2021-09-27,28400,-100,-0.35,28100,28700,27450,253913,7158976050,5.3676E+11,18900000
2021-09-24,28500,-300,-1.04,28900,29300,28400,333897,9570117100,5.3865E+11,18900000
2021-09-23,28800,1450,5.3,27250,29000,26700,826339,23499967700,5.4432E+11,18900000
2021-09-17,27350,650,2.43,26750,27550,26600,390801,10658536900,5.16915E+11,18900000
2021-09-16,26700,-400,-1.48,27450,27450,26650,190943,5124606000,5.0463E+11,18900000
2021-09-15,27100,200,0.74,27050,27500,26650,406614,11027653100,5.1219E+11,18900000
2021-09-14,26900,1400,5.49,25950,27450,25900,1018762,27418809500,5.0841E+11,18900000
2021-09-13,25500,-350,-1.35,25550,25800,25100,150844,3830264050,4.8195E+11,18900000
2021-09-10,25850,300,1.17,25500,26200,25350,302952,7797560750,4.88565E+11,18900000
2021-09-09,25550,-150,-0.58,25750,25950,24850,260673,6586829000,4.82895E+11,18900000
2021-09-08,25700,100,0.39,25750,26500,25550,410113,10671042550,4.8573E+11,18900000
2021-09-07,25600,600,2.4,25000,25850,24700,245759,6212774500,4.8384E+11,18900000
2021-09-06,25000,100,0.4,24750,25050,24350,143780,3569773150,4.725E+11,18900000
2021-09-03,24900,-150,-0.6,25050,25500,24800,170943,4298234800,4.7061E+11,18900000
2021-09-02,25050,0,0,25200,25250,24800,134875,3373547600,4.73445E+11,18900000
2021-09-01,25050,200,0.8,25000,25650,24800,202559,5106406000,4.73445E+11,18900000
2021-08-31,24850,-300,-1.19,25100,25100,24600,175762,4363825300,4.69665E+11,18900000
2021-08-30,25150,850,3.5,24750,25300,24550,337751,8459378200,4.75335E+11,18900000
2021-08-27,24300,0,0,23950,24500,23900,182237,4412123550,4.5927E+11,18900000
2021-08-26,24300,50,0.21,24250,24850,24050,176645,4303542300,4.5927E+11,18900000
2021-08-25,24250,650,2.75,23850,24300,23550,334194,8028433450,4.58325E+11,18900000
2021-08-24,23600,1300,5.83,23000,23800,23000,286033,6734087450,4.4604E+11,18900000
2021-08-23,22300,500,2.29,21950,22650,21700,180183,4026368750,4.2147E+11,18900000
2021-08-20,21800,0,0,21950,22200,21400,251783,5500371500,4.1202E+11,18900000
2021-08-19,21800,-1200,-5.22,22600,22700,21600,334018,7363931000,4.1202E+11,18900000
2021-08-18,23000,500,2.22,22100,23200,22050,192616,4374532700,4.347E+11,18900000
2021-08-17,22500,-1100,-4.66,23300,23950,22300,315695,7162245050,4.2525E+11,18900000
2021-08-13,23600,-900,-3.67,24350,24350,23450,346473,8207246100,4.4604E+11,18900000
2021-08-12,24500,200,0.82,24050,24700,24000,206969,5048898750,4.6305E+11,18900000
2021-08-11,24300,-100,-0.41,24350,24400,23900,187830,4529699200,4.5927E+11,18900000
2021-08-10,24400,-800,-3.17,25100,25150,24200,310573,7639504800,4.6116E+11,18900000
2021-08-09,25200,-300,-1.18,25150,25400,24500,229473,5762987000,4.7628E+11,18900000
2021-08-06,25500,450,1.8,25550,26100,25300,401106,10319521350,4.8195E+11,18900000
2021-08-05,25050,-450,-1.76,25300,25400,24850,234089,5875325750,4.73445E+11,18900000
2021-08-04,25500,1250,5.15,24250,25550,24050,538633,13582390050,4.8195E+11,18900000
2021-08-03,24250,200,0.83,24100,24400,23950,151834,3666024550,4.58325E+11,18900000
2021-08-02,24050,-450,-1.84,24450,24500,23800,156078,3748338800,4.54545E+11,18900000
2021-07-30,24500,50,0.2,24500,24700,24100,110508,2701753150,4.6305E+11,18900000
2021-07-29,24450,300,1.24,24300,24750,24150,91452,2235716600,4.62105E+11,18900000
2021-07-28,24150,-100,-0.41,24000,24450,23950,109134,2635179650,4.56435E+11,18900000
2021-07-27,24250,300,1.25,24000,24600,24000,161804,3939955200,4.58325E+11,18900000
2021-07-26,23950,-650,-2.64,24600,24650,23900,267410,6441745700,4.52655E+11,18900000
2021-07-23,24600,-250,-1.01,24800,25250,24350,252621,6234222250,4.6494E+11,18900000
2021-07-22,24850,1200,5.07,24000,25350,24000,606717,15093087200,4.69665E+11,18900000
2021-07-21,23650,-350,-1.46,24500,24650,23400,373608,8987126800,4.46985E+11,18900000
2021-07-20,24000,-350,-1.44,23900,24600,23750,247559,5982926850,4.536E+11,18900000
2021-07-19,24350,-600,-2.4,24600,24750,24300,168057,4108941900,4.60215E+11,18900000
2021-07-16,24950,250,1.01,24700,25000,24300,188631,4633012100,4.71555E+11,18900000
2021-07-15,24700,400,1.65,24350,24800,24250,130073,3199909100,4.6683E+11,18900000
2021-07-14,24300,-600,-2.41,24800,24800,24200,137906,3364892450,4.5927E+11,18900000
2021-07-13,24900,200,0.81,24700,25150,24500,203764,5076280600,4.7061E+11,18900000
2021-07-12,24700,200,0.82,24500,24850,24150,214184,5269617200,4.6683E+11,18900000
2021-07-09,24500,-200,-0.81,24000,24550,23300,483750,11595906050,4.6305E+11,18900000
2021-07-08,24700,-1050,-4.08,25550,25650,24700,394403,9858565350,4.6683E+11,18900000
2021-07-07,25750,-650,-2.46,25850,26000,25500,390631,10048565400,4.86675E+11,18900000
2021-07-06,26400,450,1.73,26300,27150,26150,504848,13463485400,4.9896E+11,18900000
2021-07-05,25950,250,0.97,25650,26000,25000,267049,6830027750,4.90455E+11,18900000
2021-07-02,25700,-100,-0.39,25800,26150,25550,195183,5043196500,4.8573E+11,18900000
2021-07-01,25800,-550,-2.09,26300,26400,25750,244941,6349610750,4.8762E+11,18900000
2021-06-30,26350,50,0.19,26450,26500,25950,237320,6215519500,4.98015E+11,18900000
2021-06-29,26300,-350,-1.31,26600,26900,26100,398322,10530010900,4.9707E+11,18900000
2021-06-28,26650,-600,-2.2,26450,27500,26000,635792,16917199050,5.03685E+11,18900000
2021-06-25,27250,350,1.3,27000,28050,26900,307768,8469296000,5.15025E+11,18900000
2021-06-24,26900,-800,-2.89,27200,27300,26550,473080,12742275100,5.0841E+11,18900000
2021-06-23,27700,-250,-0.89,27900,28050,27050,387080,10653887400,5.2353E+11,18900000
2021-06-22,27950,300,1.08,28350,28500,27950,301320,8513910200,5.28255E+11,18900000
2021-06-21,27650,-1250,-4.33,28200,28250,27350,443436,12287371300,5.22585E+11,18900000
2021-06-18,28900,200,0.7,28700,28900,28000,316237,8968429350,5.4621E+11,18900000
2021-06-17,28700,100,0.35,29000,29000,28400,214579,6160681100,5.4243E+11,18900000
2021-06-16,28600,850,3.06,27750,28700,27700,364799,10333797800,5.4054E+11,18900000
2021-06-15,27750,-600,-2.12,28050,28250,27650,374662,10418140850,5.24475E+11,18900000
2021-06-14,28350,-650,-2.24,29000,29050,28150,325256,9233520950,5.35815E+11,18900000
2021-06-11,29000,-400,-1.36,29150,29400,28600,385377,11127552150,5.481E+11,18900000
2021-06-10,29400,-350,-1.18,30250,31000,29150,729101,21893032700,5.5566E+11,18900000
2021-06-09,29750,300,1.02,30050,30900,29550,710647,21436555900,5.62275E+11,18900000
2021-06-08,29450,250,0.86,29000,29550,28500,388351,11358115350,5.56605E+11,18900000
2021-06-07,29200,-350,-1.18,29500,29600,28300,647246,18630622800,5.5188E+11,18900000
2021-06-04,29550,-1400,-4.52,30050,30250,29150,839413,24874591250,5.58495E+11,18900000
2021-06-03,30950,50,0.16,31100,31550,30250,610117,18815293000,5.84955E+11,18900000
2021-06-02,30900,1700,5.82,29250,30900,28900,1015250,30651827200,5.8401E+11,18900000
2021-06-01,29200,250,0.86,29350,30650,28050,978304,28219261650,5.5188E+11,18900000
2021-05-31,28950,1950,7.22,27100,29300,27050,969418,27621808800,5.47155E+11,18900000
2021-05-28,27000,-50,-0.18,27150,27450,26350,475676,12796865300,5.103E+11,18900000
2021-05-27,27050,800,3.05,26400,28000,26300,1240371,33985120600,5.11245E+11,18900000
2021-05-26,26250,300,1.16,26000,26450,25800,543644,14244078700,4.96125E+11,18900000
2021-05-25,25950,1000,4.01,24950,26000,24950,585908,15068893550,4.90455E+11,18900000
2021-05-24,24950,350,1.42,24600,25350,23900,273202,6799590100,4.71555E+11,18900000
2021-05-21,24600,-900,-3.53,25350,25650,24400,429556,10605982600,4.6494E+11,18900000
2021-05-20,25500,50,0.2,25050,25700,24550,444988,11227532250,4.8195E+11,18900000
2021-05-18,25450,-650,-2.49,25800,26050,25100,670545,17081403400,4.81005E+11,18900000
2021-05-17,26100,1650,6.75,24800,26300,24550,1466784,37717772750,4.9329E+11,18900000
2021-05-14,24450,800,3.38,24050,24500,23650,368426,8890273550,4.62105E+11,18900000
2021-05-13,23650,-250,-1.05,23450,24050,23200,379922,9001350350,4.46985E+11,18900000
2021-05-12,23900,100,0.42,23800,24300,23550,508871,12179312900,4.5171E+11,18900000
2021-05-11,23800,50,0.21,23800,24200,23300,401795,9551623600,4.4982E+11,18900000
2021-05-10,23750,450,1.93,23300,24100,23050,512596,12222675750,4.48875E+11,18900000
2021-05-07,23300,350,1.53,23000,23800,23000,608450,14321663000,4.4037E+11,18900000
2021-05-06,22950,650,2.91,21900,22950,21900,294175,6681192300,4.33755E+11,18900000
2021-05-04,22300,-400,-1.76,22700,23150,21900,273427,6121520750,4.2147E+11,18900000
2021-05-03,22700,100,0.44,22700,23250,22400,450652,10293170600,4.2903E+11,18900000
2021-04-30,22600,850,3.91,21800,22800,21750,633141,14253913200,4.2714E+11,18900000
2021-04-29,21750,-100,-0.46,22300,22300,21400,243275,5305142000,4.11075E+11,18900000
2021-04-28,21850,100,0.46,21750,22100,21250,311934,6745272800,4.12965E+11,18900000
2021-04-27,21750,100,0.46,21700,21900,21600,189929,4123668850,4.11075E+11,18900000
2021-04-26,21650,800,3.84,21350,21700,21050,373810,8020645750,4.09185E+11,18900000
2021-04-23,20850,-450,-2.11,21050,21200,20850,168030,3517517300,3.94065E+11,18900000
2021-04-22,21300,0,0,21500,21550,21200,97981,2085844450,4.0257E+11,18900000
2021-04-21,21300,-400,-1.84,21400,21450,21150,135186,2874578550,4.0257E+11,18900000
2021-04-20,21700,550,2.6,21200,21800,21100,249757,5380531250,4.1013E+11,18900000
2021-04-19,21150,-100,-0.47,21250,21400,21000,121452,2564909600,3.99735E+11,18900000
2021-04-16,21250,450,2.16,20800,21300,20750,192522,4063587400,4.01625E+11,18900000
2021-04-15,20800,50,0.24,20700,20950,20500,153002,3168212900,3.9312E+11,18900000
2021-04-14,20750,-250,-1.19,20900,21050,20700,196142,4080791650,3.92175E+11,18900000
2021-04-13,21000,100,0.48,20900,21150,20800,127213,2669666900,3.969E+11,18900000
2021-04-12,20900,-200,-0.95,21000,21150,20800,141348,2951148650,3.9501E+11,18900000
2021-04-09,21100,50,0.24,21050,21250,21050,100088,2114989800,3.9879E+11,18900000
2021-04-08,21050,-250,-1.17,21300,21300,21000,161798,3411099150,3.97845E+11,18900000
