Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,2825,50,1.8,2800,2830,2775,30918,86646220,65071832525,23034277
2021-10-14,2775,25,0.91,2785,2820,2760,52783,147285405,63920118675,23034277
2021-10-13,2750,25,0.92,2705,2780,2700,21094,57917835,63344261750,23034277
2021-10-12,2725,-95,-3.37,2840,2840,2725,80153,221327115,62768404825,23034277
2021-10-08,2820,-25,-0.88,2900,2900,2800,32814,92949585,64956661140,23034277
2021-10-07,2845,0,0,2805,2915,2805,36652,104142135,65532518065,23034277
2021-10-06,2845,-70,-2.4,2925,2965,2785,74350,211749395,65532518065,23034277
2021-10-05,2915,25,0.87,2885,2920,2825,57894,166178595,67144917455,23034277
2021-10-01,2890,-85,-2.86,2980,2980,2880,68477,199173570,66569060530,23034277
2021-09-30,2975,0,0,2965,3010,2920,39679,117625400,68526974075,23034277
2021-09-29,2975,15,0.51,2960,3035,2905,74555,221273210,68526974075,23034277
2021-09-28,2960,-20,-0.67,2985,3015,2885,59426,178834910,68181459920,23034277
2021-09-27,2980,10,0.34,2995,3000,2910,31260,92835080,68642145460,23034277
2021-09-24,2970,-45,-1.49,3015,3050,2950,55345,165196990,68411802690,23034277
2021-09-23,3015,70,2.38,2890,3060,2840,93566,280159090,69448345155,23034277
2021-09-17,2945,-15,-0.51,2950,2985,2880,95090,278004370,67835945765,23034277
2021-09-16,2960,20,0.68,2970,2995,2910,27081,79669270,68181459920,23034277
2021-09-15,2940,-110,-3.61,3050,3050,2925,52227,155656295,67720774380,23034277
2021-09-14,3050,120,4.1,2930,3050,2930,64023,192642645,70254544850,23034277
2021-09-13,2930,-90,-2.98,3020,3020,2850,39925,117739495,67490431610,23034277
2021-09-10,3020,45,1.51,2975,3025,2910,36522,108457915,69563516540,23034277
2021-09-09,2975,-15,-0.5,2965,3010,2785,73859,219396495,68526974075,23034277
2021-09-08,2990,-35,-1.16,3000,3055,2985,35639,107166760,68872488230,23034277
2021-09-07,3025,25,0.83,3015,3055,2990,34968,105326075,69678687925,23034277
2021-09-06,3000,-55,-1.8,3045,3045,2995,44450,133878960,69102831000,23034277
2021-09-03,3055,-5,-0.16,3060,3080,3035,24756,75551900,70369716235,23034277
2021-09-02,3060,0,0,3045,3080,2990,36043,109403310,70484887620,23034277
2021-09-01,3060,50,1.66,3070,3070,3010,41673,126967340,70484887620,23034277
2021-08-31,3010,10,0.33,3035,3070,2945,64273,192880485,69333173770,23034277
2021-08-30,3000,15,0.5,3045,3045,2990,31280,93982645,69102831000,23034277
2021-08-27,2985,5,0.17,2980,3000,2905,41522,122818590,68757316845,23034277
2021-08-26,2980,-55,-1.81,3045,3070,2965,43162,129822725,68642145460,23034277
2021-08-25,3035,100,3.41,2960,3035,2925,39496,117090510,69909030695,23034277
2021-08-24,2935,110,3.89,2890,2965,2885,46660,136298530,67605602995,23034277
2021-08-23,2825,85,3.1,2770,2830,2700,58731,162862965,65071832525,23034277
2021-08-20,2740,-160,-5.52,2860,2900,2740,115159,320576870,63113918980,23034277
2021-08-19,2900,-125,-4.13,2975,3025,2865,113217,330606735,66799403300,23034277
2021-08-18,3025,-10,-0.33,2985,3030,2920,51297,153273090,69678687925,23034277
2021-08-17,3035,-20,-0.65,3045,3045,2920,106400,314324825,69909030695,23034277
2021-08-13,3055,-20,-0.65,3075,3120,2975,140390,421550655,70369716235,23034277
2021-08-12,3075,-25,-0.81,3100,3120,3025,124927,384233785,70830401775,23034277
2021-08-11,3100,-55,-1.74,3140,3145,3070,85807,265694170,71406258700,23034277
2021-08-10,3155,-45,-1.41,3200,3235,3065,107795,339370740,72673143935,23034277
2021-08-09,3200,-100,-3.03,3325,3325,3200,79515,256634215,73709686400,23034277
2021-08-06,3300,-5,-0.15,3315,3325,3245,41374,135582085,76013114100,23034277
2021-08-05,3305,40,1.23,3240,3315,3235,76248,250131280,76128285485,23034277
2021-08-04,3265,75,2.35,3160,3285,3160,67765,219674730,75206914405,23034277
2021-08-03,3190,-105,-3.19,3310,3310,3150,147656,473819845,73479343630,23034277
2021-08-02,3295,40,1.23,3255,3300,3245,91130,297523290,75897942715,23034277
2021-07-30,3255,-85,-2.54,3340,3345,3250,85743,281122810,74976571635,23034277
2021-07-29,3340,10,0.3,3330,3390,3310,53279,177803055,76934485180,23034277
2021-07-28,3330,5,0.15,3315,3350,3285,78719,260628840,76704142410,23034277
2021-07-27,3325,-40,-1.19,3315,3400,3310,71934,240758540,76588971025,23034277
2021-07-26,3365,-70,-2.04,3435,3450,3320,108525,364950640,77510342105,23034277
2021-07-23,3435,65,1.93,3400,3450,3355,102001,347200345,79122741495,23034277
2021-07-22,3370,75,2.28,3295,3380,3295,70221,234635080,77625513490,23034277
2021-07-21,3295,-40,-1.2,3350,3395,3280,122064,405215185,75897942715,23034277
2021-07-20,3335,-45,-1.33,3320,3385,3300,108595,361796820,76819313795,23034277
2021-07-19,3380,-90,-2.59,3450,3470,3355,169023,573170440,77855856260,23034277
2021-07-16,3470,-45,-1.28,3515,3520,3450,146823,509992810,79928941190,23034277
2021-07-15,3515,5,0.14,3510,3580,3480,119382,420538210,80965483655,23034277
2021-07-14,3510,-40,-1.13,3565,3570,3450,158315,553257685,80850312270,23034277
2021-07-13,3550,-25,-0.7,3610,3650,3530,169280,606485435,81771683350,23034277
2021-07-12,3575,40,1.13,3530,3595,3500,242420,861157045,82347540275,23034277
2021-07-09,3535,-110,-3.02,3580,3605,3450,385855,1351723200,81426169195,23034277
2021-07-08,3645,-150,-3.95,3730,3760,3630,457563,1685830310,83959939665,23034277
2021-07-07,3795,5,0.13,3745,3820,3695,683376,2561622505,87415081215,23034277
2021-07-06,3790,265,7.52,3595,4300,3550,8940687,35801936480,87299909830,23034277
2021-07-05,3525,-20,-0.56,3510,3560,3510,64598,228619425,81195826425,23034277
2021-07-02,3545,85,2.46,3480,3595,3465,120706,427430125,81656511965,23034277
2021-07-01,3460,-5,-0.14,3515,3520,3360,102310,355281990,79698598420,23034277
2021-06-30,3465,-55,-1.56,3550,3550,3425,100089,346295500,79813769805,23034277
2021-06-29,3520,35,1,3485,3545,3460,73757,259487095,81080655040,23034277
2021-06-28,3485,-5,-0.14,3570,3570,3465,76521,267275435,80274455345,23034277
2021-06-25,3490,40,1.16,3450,3520,3445,98419,343009615,80389626730,23034277
2021-06-24,3450,20,0.58,3430,3455,3355,82516,281387335,79468255650,23034277
2021-06-23,3430,-55,-1.58,3520,3520,3405,110971,381424870,79007570110,23034277
2021-06-22,3485,-45,-1.27,3530,3575,3455,94092,328961795,80274455345,23034277
2021-06-21,3530,-60,-1.67,3570,3605,3440,217992,761255105,81310997810,23034277
2021-06-18,3590,-40,-1.1,3630,3645,3560,113756,407853080,82693054430,23034277
2021-06-17,3630,-5,-0.14,3670,3670,3600,55488,201148805,83614425510,23034277
2021-06-16,3635,20,0.55,3615,3680,3615,63549,231829365,83729596895,23034277
2021-06-15,3615,-135,-3.6,3750,3750,3610,194564,706808055,83268911355,23034277
2021-06-14,3750,10,0.27,3760,3780,3695,111781,417885740,86378538750,23034277
2021-06-11,3740,60,1.63,3760,3760,3640,126428,467448585,86148195980,23034277
2021-06-10,3680,-60,-1.6,3750,3820,3670,227126,850757030,84766139360,23034277
2021-06-09,3740,90,2.47,3650,3935,3650,670308,2554250375,86148195980,23034277
2021-06-08,3650,-65,-1.75,3715,3715,3610,171157,623728990,84075111050,23034277
2021-06-07,3715,-30,-0.8,3785,3785,3645,150311,556012525,85572339055,23034277
