Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,7990,190,2.44,7930,8200,7720,856131,6825230630,1.56099E+11,19536792
2021-10-14,7800,490,6.7,7400,7900,7310,836721,6434685180,1.52387E+11,19536792
2021-10-13,7310,460,6.72,7560,7850,7020,1166982,8667293660,1.42814E+11,19536792
2021-10-12,6850,-110,-1.58,6950,6950,6740,119528,815690400,1.33827E+11,19536792
2021-10-08,6960,-40,-0.57,7000,7050,6900,136145,949233450,1.35976E+11,19536792
2021-10-07,7000,370,5.58,6640,7010,6640,214839,1466987310,1.36758E+11,19536792
2021-10-06,6630,-300,-4.33,6940,7050,6600,314126,2113038440,1.29529E+11,19536792
2021-10-05,6930,-280,-3.88,7060,7120,6720,215349,1486380020,1.3539E+11,19536792
2021-10-01,7210,-260,-3.48,7400,7540,7160,216260,1571540560,1.4086E+11,19536792
2021-09-30,7470,10,0.13,7480,7550,7400,92185,688572960,1.4594E+11,19536792
2021-09-29,7460,-110,-1.45,7280,7490,7250,132519,977077350,1.45744E+11,19536792
2021-09-28,7570,-40,-0.53,7660,7780,7540,146486,1121082890,1.47894E+11,19536792
2021-09-27,7610,170,2.28,7440,7740,7380,204373,1557043470,1.48675E+11,19536792
2021-09-24,7440,100,1.36,7380,7560,7330,141230,1049320680,1.45354E+11,19536792
2021-09-23,7340,-260,-3.42,7500,7530,7310,181218,1335514730,1.434E+11,19536792
2021-09-17,7600,-60,-0.78,7660,7660,7500,127782,965749010,1.4848E+11,19536792
2021-09-16,7660,-30,-0.39,7680,7740,7620,93820,718064030,1.49652E+11,19536792
2021-09-15,7690,-80,-1.03,7750,7760,7600,167280,1283894800,1.50238E+11,19536792
2021-09-14,7770,190,2.51,7590,7830,7590,196937,1523636770,1.51801E+11,19536792
2021-09-13,7580,-350,-4.41,7900,7910,7530,409795,3135034060,1.48089E+11,19536792
2021-09-10,7930,-100,-1.25,8030,8110,7850,186418,1483745810,1.54927E+11,19536792
2021-09-09,8030,-70,-0.86,8100,8200,7990,193809,1562663240,1.5688E+11,19536792
2021-09-08,8100,-170,-2.06,8300,8300,8100,163612,1338138110,1.58248E+11,19536792
2021-09-07,8270,170,2.1,8140,8270,8060,181425,1480147670,1.61569E+11,19536792
2021-09-06,8100,-30,-0.37,8160,8290,8050,234671,1904517420,1.58248E+11,19536792
2021-09-03,8130,20,0.25,8140,8200,8070,110897,899963420,1.58834E+11,19536792
2021-09-02,8110,-100,-1.22,8220,8240,8060,193200,1567965380,1.58443E+11,19536792
2021-09-01,8210,-20,-0.24,8230,8260,8140,221711,1814812350,1.60397E+11,19536792
2021-08-31,8230,-10,-0.12,8240,8260,8140,155670,1276150830,1.60788E+11,19536792
2021-08-30,8240,170,2.11,8120,8270,8040,227835,1859479410,1.60983E+11,19536792
2021-08-27,8070,10,0.12,8100,8150,7940,124197,999134690,1.57662E+11,19536792
2021-08-26,8060,-30,-0.37,8140,8250,8030,146797,1188024980,1.57467E+11,19536792
2021-08-25,8090,-100,-1.22,8200,8270,8060,191016,1549786890,1.58053E+11,19536792
2021-08-24,8190,150,1.87,8270,8400,8140,312097,2578618500,1.60006E+11,19536792
2021-08-23,8040,220,2.81,7950,8190,7800,396702,3185285530,1.57076E+11,19536792
2021-08-20,7820,-580,-6.9,8460,8600,7810,779630,6255291460,1.52778E+11,19536792
2021-08-19,8400,-710,-7.79,9020,9070,8320,816653,7055428470,1.64109E+11,19536792
2021-08-18,9110,-340,-3.6,9320,9540,9000,787327,7224115710,1.7798E+11,19536792
