Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-10-15,12350,150,1.23,12250,12450,12100,22492,276445850,78891800000,6388000
2021-10-14,12200,500,4.27,11750,12550,11750,43866,535039900,77933600000,6388000
2021-10-13,11700,300,2.63,11250,11800,11250,28765,334537750,74739600000,6388000
2021-10-12,11400,-400,-3.39,11800,11800,11300,42008,480560400,72823200000,6388000
2021-10-08,11800,0,0,11850,12000,11350,55961,653291850,75378400000,6388000
2021-10-07,11800,500,4.42,11200,11850,11200,46181,534853850,75378400000,6388000
2021-10-06,11300,-800,-6.61,12200,12500,11300,110683,1289889900,72184400000,6388000
2021-10-05,12100,-650,-5.1,12550,12700,11900,65190,796803550,77294800000,6388000
2021-10-01,12750,-450,-3.41,13500,13500,12600,68948,890996350,81447000000,6388000
2021-09-30,13200,0,0,13200,13400,13100,54326,718450050,84321600000,6388000
2021-09-29,13200,-450,-3.3,13200,13350,12850,71230,935068700,84321600000,6388000
2021-09-28,13650,500,3.8,13150,14100,13000,316540,4318267650,87196200000,6388000
2021-09-27,13150,-350,-2.59,13550,13650,13150,61890,822856300,84002200000,6388000
2021-09-24,13500,-300,-2.17,13700,13850,13450,75787,1033791700,86238000000,6388000
2021-09-23,13800,-100,-0.72,13900,14100,13500,104298,1444104600,88154400000,6388000
2021-09-17,13900,350,2.58,13500,13950,13400,93024,1283570400,88793200000,6388000
2021-09-16,13550,-150,-1.09,13700,13850,13500,60289,823337100,86557400000,6388000
2021-09-15,13700,150,1.11,13700,13950,13400,80623,1103566600,87515600000,6388000
2021-09-14,13550,100,0.74,13150,13800,13150,79098,1062530600,86557400000,6388000
2021-09-13,13450,250,1.89,13150,13800,13150,135813,1830407250,85918600000,6388000
2021-09-10,13200,-200,-1.49,13450,13600,13000,108545,1434517250,84321600000,6388000
2021-09-09,13400,-500,-3.6,13650,13800,13300,148987,2009400000,85599200000,6388000
2021-09-08,13900,0,0,14050,14850,13800,526138,7527999350,88793200000,6388000
2021-09-07,13900,-450,-3.14,14350,14400,13550,344627,4769669600,88793200000,6388000
2021-09-06,14350,1350,10.38,13050,15300,13050,2332075,33603888700,91667800000,6388000
2021-09-03,13000,0,0,12950,13150,12850,73703,957790000,83044000000,6388000
2021-09-02,13000,50,0.39,13000,13100,12850,62033,805662150,83044000000,6388000
2021-09-01,12950,350,2.78,12700,13500,12650,245261,3211631100,82724600000,6388000
2021-08-31,12600,-200,-1.56,12700,12750,12400,77797,977034550,80488800000,6388000
