Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,38200,38300,37800,37850,35920.22266,179914
2020-01-21,38050,38100,37650,37700,35777.86719,187588
2020-01-22,37900,38300,37600,38300,36347.27734,237796
2020-01-23,38050,38300,37700,38100,36157.47266,201322
2020-01-28,37500,37800,36100,36350,34496.69922,390860
2020-01-29,36300,36350,35900,36350,34496.69922,295323
2020-01-30,36400,36400,35250,35400,33595.13281,274189
2020-01-31,35750,36200,35250,35250,33452.78125,286937
2020-02-03,35050,35350,34550,35000,33215.52734,226193
2020-02-04,34850,35450,34800,34900,33120.625,323944
2020-02-05,35250,35600,35000,35350,33547.68359,272398
2020-02-06,35700,36700,35600,36700,34828.85156,310018
2020-02-07,36500,36700,35650,35850,34022.19141,227786
2020-02-10,35300,35700,35100,35300,33500.23047,140996
2020-02-11,35600,35800,35350,35500,33690.03516,156849
2020-02-12,35350,35600,35000,35450,33642.58594,186068
2020-02-13,35600,35700,35100,35300,33500.23047,319803
2020-02-14,35050,35700,35000,35250,33452.78125,265367
2020-02-17,35400,35550,35000,35250,33452.78125,168530
2020-02-18,35050,35600,34900,35500,33690.03516,296848
2020-02-19,35800,36050,35500,35750,33927.28906,336118
2020-02-20,35750,36200,35500,35700,33879.83984,238687
2020-02-21,35050,35600,34900,35100,33310.42969,189637
2020-02-24,34750,34950,33900,33900,32171.61133,313620
2020-02-25,33750,34600,33750,34300,32551.2168,341216
2020-02-26,34150,34500,33900,34000,32266.51367,283194
2020-02-27,34000,34200,33400,34000,32266.51367,346441
2020-02-28,33400,33800,32750,33100,31412.39844,391888
2020-03-02,33200,33350,32050,32950,31270.04688,352305
2020-03-03,33550,34050,33050,33200,31507.30078,325337
2020-03-04,33150,34600,33050,34300,32551.2168,396290
2020-03-05,34550,35200,34150,34900,33120.625,366895
2020-03-06,34500,34550,34000,34400,32646.11914,318615
2020-03-09,34400,34400,34400,34400,32646.11914,0
2020-03-10,32800,33750,32500,33550,31839.45508,508237
2020-03-11,33200,34300,32650,33100,31412.39844,423850
2020-03-12,33100,33100,33100,33100,31412.39844,0
2020-03-13,30100,31750,29100,31400,29799.07422,908190
2020-03-16,31400,31700,29450,30050,28517.90234,563171
2020-03-17,28500,29900,28300,29300,27806.14258,517060
2020-03-18,29600,29600,28150,28500,27046.92969,500436
2020-03-19,28450,28800,23850,24400,23155.96875,789228
2020-03-20,24500,25600,22750,23900,22681.46094,1291491
2020-03-23,21500,22400,20450,20800,19739.51367,1010313
2020-03-24,21600,23450,20900,23350,22159.50195,1006296
2020-03-25,24850,27500,24300,27400,26003.01367,1109536
2020-03-26,27400,28000,26300,26850,25481.05469,1043480
2020-03-27,28400,29400,27300,27800,26382.61914,865105
2020-03-30,26950,29400,26200,28300,26857.12695,740674
2020-03-31,29250,30250,28700,29350,27853.5918,781828
2020-04-01,29350,29600,27150,27250,25860.66016,676657
2020-04-02,27150,28000,26300,27750,26335.16797,581063
