Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,53500.000000,53900.000000,53500.000000,53800.000000,47449.050781,2130
2020-01-21,53500.000000,53800.000000,53500.000000,53800.000000,47449.050781,1342
2020-01-22,53600.000000,54000.000000,53400.000000,53800.000000,47449.050781,6765
2020-01-23,53600.000000,54000.000000,53200.000000,53700.000000,47360.855469,9243
2020-01-28,53100.000000,53600.000000,52700.000000,53100.000000,46831.683594,5649
2020-01-29,53500.000000,53500.000000,52600.000000,52900.000000,46655.292969,4551
2020-01-30,53000.000000,53000.000000,52600.000000,52600.000000,46390.707031,2092
2020-01-31,53000.000000,53200.000000,52600.000000,53000.000000,46743.488281,2625
2020-02-03,52900.000000,52900.000000,52300.000000,52600.000000,46390.707031,3050
2020-02-04,52600.000000,52800.000000,52500.000000,52500.000000,46302.515625,4147
2020-02-05,52400.000000,53200.000000,52400.000000,52500.000000,46302.515625,3143
2020-02-06,52400.000000,52900.000000,52400.000000,52700.000000,46478.902344,1499
2020-02-07,52700.000000,52800.000000,52600.000000,52700.000000,46478.902344,2190
2020-02-10,52600.000000,52700.000000,52400.000000,52600.000000,46390.707031,3250
2020-02-11,52800.000000,52900.000000,52500.000000,52900.000000,46655.292969,1407
2020-02-12,52900.000000,53000.000000,52600.000000,52800.000000,46567.097656,2738
2020-02-13,52900.000000,52900.000000,52500.000000,52600.000000,46390.707031,1976
2020-02-14,52600.000000,52800.000000,52500.000000,52600.000000,46390.707031,3008
2020-02-17,53500.000000,53500.000000,52600.000000,53000.000000,46743.488281,4789
2020-02-18,53200.000000,53200.000000,52700.000000,52700.000000,46478.902344,3084
2020-02-19,52700.000000,52900.000000,52500.000000,52600.000000,46390.707031,3234
2020-02-20,52900.000000,52900.000000,52400.000000,52400.000000,46214.316406,3410
2020-02-21,52700.000000,52700.000000,52100.000000,52300.000000,46126.121094,6526
2020-02-24,52000.000000,52000.000000,51000.000000,51200.000000,45155.972656,36605
2020-02-25,51300.000000,51300.000000,51000.000000,51100.000000,45067.777344,3302
2020-02-26,51100.000000,51100.000000,50300.000000,50500.000000,44538.609375,3006
2020-02-27,50200.000000,51000.000000,50000.000000,50200.000000,44274.019531,5590
2020-02-28,50000.000000,50000.000000,49450.000000,49650.000000,43788.949219,3796
2020-03-02,49800.000000,49800.000000,49000.000000,49600.000000,43744.847656,4986
2020-03-03,49800.000000,50800.000000,49800.000000,50400.000000,44450.414063,6896
2020-03-04,50300.000000,51200.000000,50200.000000,50900.000000,44891.386719,3547
2020-03-05,50900.000000,51600.000000,50600.000000,51500.000000,45420.562500,11012
2020-03-06,51400.000000,51600.000000,51000.000000,51600.000000,45508.753906,7255
2020-03-09,51600.000000,51600.000000,51600.000000,51600.000000,45508.753906,0
2020-03-10,50300.000000,50300.000000,49750.000000,50200.000000,44274.019531,2878
2020-03-11,50200.000000,50700.000000,49800.000000,49950.000000,44053.531250,1799
2020-03-12,49950.000000,49950.000000,49950.000000,49950.000000,44053.531250,0
2020-03-13,47000.000000,48150.000000,45000.000000,47100.000000,41539.968750,5692
2020-03-16,47300.000000,47800.000000,45000.000000,46500.000000,41010.796875,15199
2020-03-17,46300.000000,47000.000000,45000.000000,46000.000000,40569.820313,15024
2020-03-18,46200.000000,47150.000000,45800.000000,45800.000000,40393.429688,27234
