,Date,Asian economy,D&C,Digital_joseon,Ncsoft_Corporation,Play with,Vespa,Comtec_Systems,Samsung_SDS,Sultrux,CJ Cheiljedang,Hantop,Harim,Hyundai Motor,Kia Corporation,KR motors,Didim,Kangwon Land,Modutour,Korean_Air_Lines,T'Way Air ,Yerimdang,HMM,KSS Line ,Tewoong,Koreaeset,Samsung_Securities,Shinyoung Securitie,Co_num
0,2021-10-15,3780,39600,3170,630000,9870,11400,1635.0,204000,28400.0,249500.0,1365,28400.0,118000.0,41600.0,1015,1825,28700.0,26550,26850.0,3273.64917,2825,3650,7430.0,7990,12350,37850,53800.0,582
1,2021-10-14,3730,39500,2990,632000,9990,10500,1620.0,204000,27550.0,251000.0,1350,27550.0,117000.0,41600.0,1015,1825,28350.0,26700,26150.0,3178.242432,2775,3565,7480.0,7800,12200,37700,53800.0,676
2,2021-10-13,3520,39200,2975,643000,10400,10150,1645.0,206000,26450.0,250500.0,1295,26450.0,127000.0,42600.0,1010,1820,28850.0,26800,26500.0,3196.131104,2750,3585,7480.0,7310,11700,38300,53800.0,748
3,2021-10-12,3380,39300,2985,646000,10400,9970,1625.0,205000,26950.0,249500.0,1280,26950.0,130500.0,43400.0,987,1785,28600.0,26500,25400.0,3202.093994,2725,3635,7400.0,6850,11400,38100,53700.0,574
4,2021-10-08,3565,37950,2965,644000,10650,10900,1545.0,195000,27850.0,242500.0,1315,27850.0,131000.0,42700.0,994,1840,27650.0,26150,23700.0,2921.836182,2820,3475,7220.0,6960,11800,36350,53100.0,715
5,2021-10-07,3370,38550,2960,649000,9950,10800,1565.0,198000,25250.0,237500.0,1310,25250.0,131000.0,42550.0,982,1895,27300.0,27100,23850.0,2912.891846,2845,3500,7250.0,7000,11800,36350,52900.0,756
6,2021-10-06,3100,37200,2705,655000,9740,10900,1535.0,201000,23250.0,235500.0,1275,23250.0,127500.0,41950.0,951,1805,28000.0,26600,23800.0,2844.318115,2845,3500,7140.0,6630,11300,35400,52600.0,819
7,2021-10-05,3310,38600,2810,636000,10050,11500,1460.0,194000,24500.0,237500.0,1310,24500.0,125000.0,40900.0,948,1855,27550.0,28050,23650.0,2766.800049,2915,3475,6980.0,6930,12100,35250,53000.0,691
8,2021-10-01,3515,40600,2895,640000,10000,12200,1475.0,191500,25450.0,237500.0,1350,25450.0,123500.0,40100.0,990,1905,27100.0,27300,24150.0,2826.429443,2890,3400,7030.0,7210,12750,35000,52600.0,802
9,2021-09-30,3690,41550,3000,656000,9860,12500,1515.0,194000,26750.0,239500.0,1400,26750.0,124000.0,40250.0,1015,1950,26800.0,27650,25750.0,2865.188477,2975,3475,7000.0,7470,13200,34900,52500.0,858
10,2021-09-29,3790,42250,2980,657000,9620,13150,1510.0,193000,26700.0,241500.0,1340,26700.0,124000.0,39400.0,1015,1930,26750.0,28200,26000.0,2865.188477,2975,3520,7410.0,7460,13200,35350,52500.0,1052
11,2021-09-28,3985,41400,3005,670000,9800,12000,1530.0,200000,28350.0,247000.0,1365,28350.0,132000.0,41300.0,1025,1880,27650.0,27700,27000.0,2859.225586,2960,3530,7630.0,7570,13650,36700,52700.0,1051
12,2021-09-27,4185,42300,3165,672000,9970,12600,1525.0,198000,29100.0,243500.0,1400,29100.0,131000.0,40500.0,1050,1980,27300.0,28400,26900.0,2862.207031,2980,3525,7630.0,7610,13150,35850,52700.0,847
13,2021-09-24,4095,40950,3165,648000,10050,13300,1560.0,198500,29100.0,244000.0,1410,29100.0,130000.0,40650.0,1035,2030,27050.0,28500,26300.0,2886.058594,2970,3710,7630.0,7440,13500,35300,52600.0,1216
14,2021-09-23,4185,38700,3205,644000,9920,13800,1580.0,199500,29050.0,255000.0,1430,29050.0,132500.0,41350.0,1055,2020,26950.0,28800,26100.0,2832.392334,3015,3800,7710.0,7340,13800,35500,52900.0,911
15,2021-09-17,4435,39950,3160,650000,10000,13850,1580.0,200500,29050.0,266500.0,1475,29050.0,136000.0,41650.0,1065,2075,27200.0,27350,26100.0,2957.61377,2945,3820,7690.0,7600,13900,35450,52800.0,701
16,2021-09-16,4340,40500,3120,629000,9970,14300,1590.0,198000,29300.0,275500.0,1475,29300.0,133000.0,41250.0,1070,2100,26850.0,26700,26050.0,2880.095703,2960,3815,7690.0,7660,13550,35300,52600.0,762
17,2021-09-15,4365,40500,3190,657000,10050,14050,1595.0,200000,29300.0,276000.0,1520,29300.0,133500.0,41650.0,1075,2110,26650.0,27100,25650.0,2886.058594,2940,3825,7700.0,7690,13700,35250,52600.0,719
18,2021-09-14,4610,40900,3250,658000,10150,13900,1615.0,201500,29150.0,271000.0,1525,29150.0,135500.0,41450.0,1090,2060,26450.0,26900,25300.0,2868.169922,3050,3980,7770.0,7770,13550,35250,53000.0,795
19,2021-09-13,4555,40750,3200,655000,9850,13350,1565.0,199000,28800.0,268500.0,1500,28800.0,132500.0,41350.0,1095,2055,26200.0,25500,16591.36328,2874.132813,2930,3860,7690.0,7580,13450,35500,52700.0,534
20,2021-09-10,4700,40750,3315,687000,9980,14000,1545.0,199000,28850.0,274500.0,1505,28850.0,131500.0,41300.0,1100,2155,26250.0,25850,16421.7168,2814.503418,3020,3710,7650.0,7930,13200,35750,52600.0,649
21,2021-09-09,4830,40600,3285,676000,10000,14250,1510.0,195500,28800.0,273500.0,1505,28800.0,130000.0,40550.0,1090,2135,25800.0,25550,16048.49707,2796.614746,2975,3625,7670.0,8030,13400,35700,52400.0,678
22,2021-09-08,4850,41150,3350,669000,10100,14200,1475.0,191500,29200.0,267500.0,1510,29200.0,128000.0,40050.0,1115,2145,25050.0,25700,15980.63867,2653.504395,2990,3500,7970.0,8100,13900,35100,52300.0,654
23,2021-09-07,4385,42050,3385,663000,10150,15000,1400.0,182000,29900.0,263000.0,1555,29900.0,122500.0,38600.0,1110,2150,23800.0,25600,14996.69238,2358.339355,3025,3345,7740.0,8270,13900,33900,51200.0,691
24,2021-09-06,4240,42600,3380,669000,10150,15050,1445.0,183000,29900.0,262000.0,1575,29900.0,122500.0,38150.0,1120,2185,24150.0,25000,15234.19629,2385.172607,3000,3395,7810.0,8100,14350,34300,51100.0,476
25,2021-09-03,4195,41950,3415,672000,10350,15950,1425.0,179500,30200.0,264500.0,1580,30200.0,122500.0,38150.0,1125,2095,23600.0,24900,15573.48828,2367.283691,3055,3380,7840.0,8130,13000,34000,50500.0,558
26,2021-09-02,4450,42400,3475,654000,10800,15950,1380.0,173000,30150.0,259000.0,1585,30150.0,121000.0,37700.0,1130,2070,23850.0,25050,15573.48828,2319.580322,3060,3340,7880.0,8110,13000,34000,50200.0,550
27,2021-09-01,4355,43100,3500,649000,10750,16150,1280.0,166500,30050.0,244000.0,1585,30050.0,115000.0,36250.0,1130,2110,22800.0,25050,15132.40918,2230.13623,3060,3255,7630.0,8210,12950,33100,49650.0,549
28,2021-08-31,4300,41900,3415,661000,10200,17750,1340.0,168000,29750.0,247000.0,1590,29750.0,113500.0,34500.0,1125,2145,23050.0,24850,15132.40918,2265.913818,3010,3320,7690.0,8230,12600,32950,49600.0,670
29,2021-08-30,4285,42650,3450,679000,10200,17650,1305.0,169500,30100.0,249500.0,1600,30100.0,112500.0,34900.0,1130,2225,23350.0,25150,15200.26758,2340.450439,3000,3405,7680.0,8240,12800,33200,50400.0,455
30,2021-08-27,4090,41200,3410,720000,10100,20850,1380.0,179500,30050.0,258500.0,1610,30050.0,113000.0,35750.0,1115,2075,23650.0,24300,16286.00098,2352.376465,2985,3525,7780.0,8070,12700,34300,50900.0,562
31,2021-08-26,4075,40800,3390,711000,9900,24800,1380.0,181000,29600.0,259500.0,1605,29600.0,114000.0,35900.0,1115,2100,24450.0,24300,17032.44336,2543.190186,2980,3730,7930.0,8060,12850,34900,51500.0,561
32,2021-08-25,4040,41100,3375,700000,10000,28300,1365.0,178000,30000.0,261500.0,1585,30000.0,110500.0,34650.0,1105,2085,23950.0,24250,16150.28418,2409.02417,3035,3670,7950.0,8090,13300,34400,51600.0,564
33,2021-08-24,3960,41900,3370,700000,10000,27200,1365.0,178000,30250.0,261500.0,1560,30250.0,110500.0,34650.0,1100,2130,23950.0,23600,16150.28418,2280.821289,2935,3670,7950.0,8190,14200,34400,51600.0,699
34,2021-08-23,3825,40500,3245,676000,9760,27150,1290.0,169500,29150.0,249500.0,1520,29150.0,102000.0,31950.0,1060,2110,23400.0,22300,15980.63867,2265.913818,2825,3430,7700.0,8040,12550,33550,50200.0,429
35,2021-08-20,3585,40050,3055,666000,9490,26550,1230.0,166500,28200.0,246000.0,1490,28200.0,100000.0,31800.0,1050,2115,23050.0,21800,15437.77148,2209.266113,2740,3430,7550.0,7820,12300,33100,49950.0,524
36,2021-08-19,3865,41750,3180,666000,9660,27000,1200.0,166500,29700.0,246000.0,1570,29700.0,100000.0,31800.0,1100,2285,23050.0,21800,15437.77148,1961.804321,2900,3430,7550.0,8400,13100,33100,49950.0,558
37,2021-08-18,4085,43500,3435,641000,10100,27450,1045.0,152000,30700.0,222000.0,1590,30700.0,87200.0,28850.0,1135,2200,21250.0,23000,13978.81738,1756.083252,3025,3060,6900.0,9110,13800,31400,47100.0,565
38,2021-08-17,3950,42400,3295,595000,9940,26700,1030.0,148500,30750.0,218000.0,1565,30750.0,82900.0,27100.0,1105,2180,20900.0,22500,13639.52539,1779.934937,3035,2990,6650.0,9450,13800,30050,46500.0,514
39,2021-08-13,4140,44300,3480,577000,10550,27000,1035.0,143000,32800.0,214000.0,1630,32800.0,80100.0,25350.0,1140,2255,19800.0,23600,13435.95117,1729.25,3055,3000,6520.0,10150,14550,29300,46000.0,516
40,2021-08-12,4215,45600,3560,570000,10850,27800,941.0,141000,33800.0,210000.0,1630,33800.0,73500.0,25300.0,1165,2215,18500.0,24500,12282.35938,1598.065552,3075,2825,6350.0,10100,14750,28500,45800.0,525
41,2021-08-11,4175,45750,3575,530000,11000,27750,740.0,139000,33350.0,155000.0,1630,33350.0,65900.0,22550.0,1180,2055,16900.0,24300,9228.734375,1228.363892,3100,2325,5680.0,9930,15000,24400,41900.0,533
42,2021-08-10,4170,46250,3690,567000,10850,28550,816.0,145000,34500.0,188000.0,1750,34500.0,71100.0,24150.0,1195,2095,17400.0,24400,10348.39648,1290.974609,3155,2425,5940.0,9460,14900,23900,42900.0,658
43,2021-08-09,4245,46050,3730,572000,11250,28500,800.0,137000,35150.0,172500.0,1770,35150.0,68900.0,21500.0,1200,2135,16250.0,25200,9703.742188,1234.326782,3200,2190,5640.0,9630,16250,20800,39600.0,357
44,2021-08-06,4600,45350,3810,649000,11450,29600,894.0,146000,34100.0,191000.0,1785,34100.0,74800.0,23100.0,1225,2080,18250.0,25500,10178.75098,1267.122925,3300,2340,5880.0,9540,16600,23350,40400.0,517
45,2021-08-05,4790,45800,3880,651000,11500,30150,947.0,148500,34200.0,203000.0,1795,34200.0,84500.0,25150.0,1235,2135,19350.0,25050,11773.42188,1511.603027,3305,2600,6120.0,9630,16750,27400,42350.0,465
46,2021-08-04,4645,46200,3870,625000,11100,30700,986.0,143500,33650.0,200000.0,1795,33650.0,84900.0,25050.0,1215,2165,19600.0,25500,12452.00488,1654.713379,3265,2660,6270.0,9470,14850,26850,45450.0,465
47,2021-08-03,4615,46000,3780,622000,11000,30050,991.0,146000,31950.0,203500.0,1735,31950.0,86400.0,25500.0,1190,2115,20050.0,24250,12859.15527,1690.490967,3190,2665,6370.0,9390,14200,27800,47100.0,485
48,2021-08-02,4730,47000,3950,624000,11500,31400,1030.0,151500,31800.0,213500.0,1770,31800.0,85400.0,24950.0,1230,2190,19300.0,24050,12689.50879,1684.528076,3295,2805,6400.0,9600,14750,28300,45350.0,304
49,2021-07-30,4745,46650,3795,652000,11400,31250,1065.0,149500,32500.0,216000.0,1720,32500.0,88700.0,26000.0,1235,2130,19750.0,24500,12689.50879,1738.194458,3255,3100,6640.0,9560,15500,29350,46050.0,468
50,2021-07-29,4900,47350,3715,618000,11850,31100,1125.0,141000,33000.0,214000.0,1790,33000.0,85400.0,25550.0,1255,2115,18450.0,24450,12791.29688,1747.138794,3340,3150,6650.0,9520,15700,27250,45850.0,492
51,2021-07-28,4980,47000,3715,656000,11900,31000,1170.0,144000,33100.0,228000.0,1730,33100.0,86600.0,25800.0,1235,2100,18700.0,24150,12893.08398,1762.046143,3330,3270,6600.0,9650,15150,27750,45950.0,511
52,2021-07-27,5140,47850,3835,647000,12600,30600,1245.0,144500,32800.0,230500.0,1755,32800.0,86300.0,25400.0,1250,2025,18650.0,24250,12655.58008,1723.287109,3325,3215,6760.0,9770,15300,27300,45950.0,612
53,2021-07-26,5190,47400,3800,678000,12750,30900,1285.0,154500,34200.0,245500.0,1690,34200.0,88800.0,26800.0,1240,2000,20000.0,23950,12689.50879,1750.120361,3365,3240,6890.0,9730,16600,28700,46050.0,344
54,2021-07-23,4910,49000,3925,675000,12450,30300,1290.0,156500,34000.0,248000.0,1735,34000.0,90400.0,28250.0,1275,2050,20700.0,24600,12994.87207,1797.82373,3435,3250,7080.0,9730,18950,28900,46300.0,462
55,2021-07-22,4930,48200,3875,663000,12350,31400,1295.0,156500,33300.0,243500.0,1730,33300.0,90000.0,28250.0,1295,2005,20750.0,24850,12960.94238,1872.360352,3370,3260,6940.0,9660,18350,28000,46200.0,517
56,2021-07-21,4790,46700,3925,655000,12050,31250,1305.0,156500,32650.0,238500.0,1725,32650.0,97100.0,30150.0,1280,2000,23300.0,23650,13537.73828,2036.341064,3295,3280,6970.0,9230,17150,28400,46300.0,496
57,2021-07-20,4985,47050,3950,650000,12300,31200,1260.0,157500,33250.0,231500.0,1735,33250.0,99700.0,31000.0,1300,2040,24100.0,24000,13809.17188,2227.154785,3335,3290,7040.0,9350,18350,28750,46500.0,606
58,2021-07-19,4680,47250,4265,651000,12600,31200,1215.0,152000,31550.0,229000.0,1720,31550.0,97800.0,29500.0,1295,2110,23400.0,24350,13266.30469,2075.100098,3380,3460,7060.0,9330,15150,27800,45900.0,394
